surface	method	host	path	class	const	file
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-size-chart-categories	UNKNOWN_READLIKE		remote-802.2d4188eb748944aba10c.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-stock-reco-for-listing	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-stock-recommendations-impact	UNKNOWN_READLIKE		remote-listingsManagement-843.ac90229ed823f8648971.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/getCatalogErrorFileStatus	UNKNOWN_READLIKE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/getHSNDetailsBasedOnVertical	UNKNOWN_READLIKE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/getProductsList	UNKNOWN_READLIKE	fetchApi	5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/getSellerMPAffinityFlag	UNKNOWN_READLIKE	fetchApi	90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/getStockInsights	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/getTaxTags	UNKNOWN_READLIKE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/getVariants	UNKNOWN_READLIKE	fetchApi	5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/getVerticalPredictions	UNKNOWN_READLIKE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/inProgressGroupingFeeds	UNKNOWN_READLIKE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/inProgressSingle	UNKNOWN_READLIKE	updateApi	5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/inventoryStock	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/is-shopsy-seller	UNKNOWN_READLIKE	fetchApi	5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/isSellerNew	UNKNOWN_READLIKE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/lag	UNKNOWN_READLIKE		remote-listingsManagement-843.ac90229ed823f8648971.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/listing-performance-details	UNKNOWN_READLIKE		2056.20eacbab222e3f0033e8.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/listing-price-recommendation	UNKNOWN_READLIKE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/listings-price-recommendation	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/listingsCountForStates	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/listingsDataForStates	UNKNOWN_READLIKE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/listingsDataForStock	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/listingsFilterValues	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/listingsStateViewTemplate	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/listingsStockCount	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/listingsStockRecoFilterValues	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/lqs-customers-liked	UNKNOWN_READLIKE		2056.20eacbab222e3f0033e8.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/lqs-grade	UNKNOWN_READLIKE		2056.20eacbab222e3f0033e8.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/lqs-grade-details	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/lqs-insights-new-bulk	UNKNOWN_READLIKE		remote-listingsManagement-843.ac90229ed823f8648971.js
