surface	method	host	path	class	const	evidence_file
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/is-fsn-owner	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/is-fsn-owner-bulk	WRITE		remote-802.2d4188eb748944aba10c.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/save-draft	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/search	WRITE		4334.d6eb70a751dec8ae847d.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/submit-draft	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/mdf/seller-requirements/bulk-approve	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/mdf/seller-requirements/bulk-reject	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/mdf/seller-requirements/filters	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/mdf/seller-requirements/search	UNKNOWN_READLIKE	r_e	9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/fbf/recall/delete	WRITE	updateApi	9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/downloadActionTemplate	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/downloadAutoEInvoice	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/downloadCostDetailsErrorFile	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/downloadCostDetailsTemplate	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/downloadRecallV2Report	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/filter	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/fbf/recall/getDocumentStatus	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/fbf/recall/getInvoiceCostDetailsStatus	READ		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/getStateCount	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/fbf/recall/search	READ		9258.26178f4d4422b76c6a94.js
seller	PUT	seller.flipkart.com	/napi/fbf/recall/submitRecallDocs	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/updateInvoiceCostDetails	WRITE		9258.26178f4d4422b76c6a94.js
seller	PUT	seller.flipkart.com	/napi/fbf/recall/updateMetaAddress	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/uploadAutoEInvoice	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/uploadEInvoice	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/uploadEInvoiceDoc	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/uploadInvoiceCostDetails	WRITE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/fbf/recall/uploadSKUErrorFile	WRITE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/fbf/recall/validateSKU	READ		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/warehouseDetails	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/audit/answers	UNKNOWN	submitAnswers	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/audit/latest	UNKNOWN	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/audit/questions	UNKNOWN	getQeastions	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/closePicklist	UNKNOWN_READLIKE	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/create/pick_list	WRITE	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/deleteGroupListing	WRITE	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/downloadBinTemplate	READ_FILE	AVAILABLE_BINS	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/downloadGroupListingEditFile	WRITE		880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/fetchCloseablePicklist	UNKNOWN_READLIKE	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/forceClosePicklist	UNKNOWN_READLIKE	updateApi	880.857b7aea12d938747f68.js
seller	GET	seller.flipkart.com	/napi/fbfLite/get/enrich	READ	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/get/pending/pick_list	UNKNOWN_READLIKE	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/get/pick_list	UNKNOWN_READLIKE	fetchApi	880.857b7aea12d938747f68.js
seller	GET	seller.flipkart.com	/napi/fbfLite/get/shipment/pick/list	READ	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/getGroupListingTemplate	UNKNOWN_READLIKE		880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/getInventoryAgeingReport	UNKNOWN_READLIKE	AGEING_REPORT	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/getListingDetails	UNKNOWN_READLIKE	fetchApi	880.857b7aea12d938747f68.js
seller	GET	seller.flipkart.com	/napi/fbfLite/getRecallDetails	READ	fetchApi	880.857b7aea12d938747f68.js
seller	GET	seller.flipkart.com	/napi/fbfLite/inventory	READ	fetchApi	880.857b7aea12d938747f68.js
