ItemCode	Warehouse	OUT90	RET90	IN90
FG0000228	GP-FG	3605	0	0
FG0000232	GP-FG	416	0	0
PM0000074	BH-SDL	0	0	0
PM0000864	BH-PC	150600	0	441
PM0000247	BH-PC	3379.25	0	18.38
FG0000408	BH-PF	441	0	0
PM0000128	BH-PC	897.04	0	37.58
FG0000035	BH-PF	9600	0	10584
PM0000657	BH-PM	4110	0	12225
FG0000175	BH-EC	0	0	0
FG0000175	BH-PF	0	0	0
FG0000032	BH-EC	89574	100	100
FG0000032	BH-PF	43200	860	177908
FG0000069	BH-EC	0	0	0
FG0000069	BH-PF	0	0	0
FG0000023	BH-EC	0	0	0
FG0000023	BH-PF	0	0	2550
FG0000004	BH-EC	24794	622	622
FG0000409	BH-EC	80085	0	0
FG0000409	BH-PF	0	0	16380
FG0000053	BH-EC	22160	0	0
FG0000275	BH-EC	19	0	0
FG0000275	BH-PF	1117	1	1964
FG0000133	BH-EC	0	0	0
FG0000133	BH-PF	0	0	0
FG0000005	BH-EC	47752	464	464
FG0000009	BH-EC	7989	2	2
FG0000009	BH-PF	0	0	11201
FG0000039	BH-EC	0	0	0
FG0000039	BH-PF	0	0	0
FG0000155	BH-EC	420	0	0
FG0000155	BH-PF	401	0	0
FG0000042	BH-EC	17929	13	13
FG0000042	BH-PF	9904	121	54793
FG0000161	BH-EC	1537	48	48
FG0000161	BH-PF	914	0	0
FG0000389	BH-EC	15885	1485	1485
FG0000389	BH-PF	32000	220	37980
FG0000014	BH-EC	0	0	0
FG0000014	BH-PF	0	0	0
FG0000011	BH-EC	34783	163	163
FG0000011	BH-PF	5925	0	56040
FG0000030	BH-EC	190608	0	0
FG0000295	BH-EC	80	0	0
FG0000295	BH-PF	0	264	264
FG0000148	BH-EC	0	0	0
FG0000148	BH-PF	0	0	0
FG0000028	BH-EC	101538	161	161
FG0000008	BH-EC	18224	5	5
FG0000045	BH-EC	2	0	0
FG0000045	BH-PF	0	0	1
FB0000011	BH-EC	0	0	0
FB0000011	BH-PF	0	0	0
FG0000227	BH-EC	29520	0	0
FG0000227	BH-PF	21680	2304	69655
FG0000150	BH-EC	43499	27	27
FG0000306	BH-EC	12140	0	0
FG0000306	BH-PF	2880	26	46866
FG0000193	BH-EC	0	0	0
FG0000193	BH-PF	0	85	85
FG0000023	BH-SC	0	0	0
FG0000069	BH-SC	0	0	0
FG0000148	BH-SC	0	0	0
FG0000161	BH-SC	0	0	0
FG0000193	BH-SC	0	0	0
FG0000389	BH-SC	0	0	0
PM0000003	BH-EC	225	0	0
PM0000003	BH-SC	0	0	0
PM0000005	BH-EC	150	0	0
PM0000005	BH-SC	0	0	0
PM0000013	BH-EC	200	0	0
PM0000013	BH-SC	0	0	0
PM0000082	BH-EC	0	0	0
PM0000082	BH-SC	0	0	0
PM0000249	BH-EC	0	0	0
PM0000249	BH-SC	0	0	0
PM0000657	BH-EC	100	0	0
PM0000657	BH-SC	0	0	0
FG0000032	BH-PS	1480	1120	1360
PM0000909	BH-BS	0	0	0
PM0000908	BH-BS	0	0	0
SF0000009	BH-GJ	0	0	3249
FA0000127	BH-FA	0	0	179
FG0000383	BH-PF	1540	0	1545
PM0000125	BH-BS	0	0	0
PM0000909	BH-PC	10176	0	0
PM0000908	BH-PC	10176	0	0
FG0000142	BH-BT	25664	7870	7870
FG0000081	BH-BT	20000	0	0
FG0000226	BH-BT	0	0	0
FG0000021	BH-GR	104	42	42
FG0000194	BH-GR	696	153	579
FG0000143	BH-GR	725	266	266
PM0000662	BH-NM	0	0	0
PM0000662	BH-PC	0	0	0
SF0000009	BH-LO	0	0	0
FG0000039	GP-FG	1610	0	0
FG0000324	GP-FG	4177	0	0
FG0000407	GP-FG	111017	1900	1900
FG0000389	GP-FG	1481	0	0
FG0000149	GP-FG	2246	340	340
FG0000374	GP-FG	1191	48	51
FG0000114	GP-FG	6	0	0
FG0000064	GP-FG	969	0	0
FG0000128	GP-FG	1550	60	60
FG0000106	GP-FG	10897	0	0
FG0000042	GP-FG	18607	80	80
FG0000192	GP-FG	3555	0	0
RM0000021	BH-LO	0	0	73268
FG0000009	GP-FG	5248	0	0
FG0000408	GP-FG	5426	0	0
FG0000306	GP-FG	19532	320	320
RM0000021	BH-PC	73515	0	0
PM0000851	BH-BS	0	0	0
PM0000079	BH-BS	0	0	24000
PM0000864	BH-BS	0	0	0
PM0000901	BH-PC	36470	0	0
PM0000900	BH-PC	36470	0	0
PM0000886	BH-BS	0	0	0
PM0000886	BH-PC	113740	0	0
PM0000885	BH-BS	0	0	0
PM0000885	BH-PC	113740	0	0
PM0000864	BH-PM	0	0	72500
PM0000886	BH-PM	0	0	169500
PM0000885	BH-PM	0	0	169500
PM0000864	BH-WST	0	0	0
PM0000014	BH-WST	0	0	0
PM0000885	BH-WST	0	0	0
PM0000886	BH-WST	0	0	0
PM0000890	BH-PC	9680	0	0
PM0000890	BH-WST	0	0	0
FG0000151	BH-BT	3740	7440	7440
FG0000150	BH-BT	15280	25496	25496
FG0000004	BH-BT	15602	718	718
FG0000032	BH-BT	26422	56332	56332
PM0000890	BH-PM	0	0	10050
FG0000028	BH-BT	13719	29707	29707
FG0000227	BH-BT	2080	7	7
PM0000887	BH-PM	0	0	152
PM0000890	BH-BS	0	0	0
PM0000468	BH-BS	6380	0	0
PM0000851	BH-PM	13494	0	733634
PM0000823	BH-NM	0	0	0
PM0000823	BH-PM	0	0	0
FG0000422	BH-PF	43060	0	113740
RM0000002	BH-GR	1735	0	15265.16
PM0000053	BH-GR	399	0	6540
PM0000468	BH-GR	0	0	1629
PM0000046	BH-GR	0	0	1355
PM0000045	BH-GR	0	0	427
PM0000094	BH-GR	327	0	5246
PM0000013	BH-GR	21.5	0	1688.25
PM0000075	BH-GR	249.92	0	5934.85
PM0000068	BH-GR	0	0	77
FG0000002	BH-GR	36	0	0
PM0000884	BH-GR	0	0	13.67
PM0000193	BH-GR	0	0	389
PM0000535	BH-GR	0	0	1018
RM0000001	BH-GR	246.84	0	27595.02
PM0000121	BH-GR	16	0	7866
PM0000018	BH-GR	0	0	2848
PM0000017	BH-GR	0	0	2848
PM0000060	BH-GR	30	0	2924
PM0000003	BH-GR	1	0	404.5
PM0000080	BH-GR	0	0	1653
PM0000082	BH-GR	9	0	752
PM0000078	BH-GR	0	632	4497
FG0000185	BH-BT	0	0	0
FG0000186	BH-BT	0	0	0
FG0000183	BH-BT	0	0	0
FG0000184	BH-BT	0	0	0
FG0000362	BH-BT	0	0	0
FG0000312	BH-BT	0	0	0
FG0000332	BH-BT	0	0	0
FG0000334	BH-BT	0	0	0
FG0000187	BH-BT	0	0	0
PM0000825	BH-BT	10	0	0
PM0000246	BH-BT	0	0	0
PM0000276	BH-BT	0	0	0
FG0000344	BH-BT	0	0	0
FG0000029	BH-BT	0	0	0
FG0000352	BH-BT	0	0	0
PM0000071	BH-BT	0	0	0
FG0000189	BH-BT	0	0	0
FG0000088	BH-BT	4589	4561	4561
FG0000047	BH-BT	238	0	0
FG0000064	BH-BT	530	2119	2119
FG0000149	BH-BT	0	0	0
FG0000038	BH-BT	4150	0	0
FG0000114	BH-BT	20	0	0
FG0000021	BH-BT	0	54	54
FG0000020	BH-BT	0	0	0
FG0000232	BH-BT	0	0	0
FG0000194	BH-BT	0	0	0
FG0000374	BH-BT	652	0	0
FG0000023	BH-BT	0	0	0
FG0000069	BH-BT	0	0	0
FG0000148	BH-BT	0	0	0
FG0000161	BH-BT	0	0	0
FG0000193	BH-BT	0	0	0
FG0000389	BH-BT	0	0	0
PM0000003	BH-BT	0	0	0
PM0000005	BH-BT	450	0	0
PM0000013	BH-BT	75	0	0
PM0000082	BH-BT	0	0	0
PM0000249	BH-BT	0	0	0
PM0000657	BH-BT	0	0	0
PM0000077	BH-GR	0	0	778
RM0000003	BH-GR	2246	0	62524.28
PM0000469	BH-GR	368	0	4519
PM0000048	BH-GR	72	0	3102
PM0000047	BH-GR	72	0	3102
FG0000011	BH-GR	3177	363	435
FG0000441	GP-FG	22680	0	0
FG0000005	BH-BT	21751	7351	7351
FG0000106	BH-BT	3600	3874	3874
FG0000143	BH-BT	2964	3483	3483
FG0000441	BH-BT	6650	6650	6650
FG0000379	BH-BT	9443	9540	9540
FG0000418	BH-BT	2400	7696	7696
FG0000407	BH-BT	37177	6060	6060
FG0000011	BH-BT	2417	10954	10994
FG0000039	BH-BT	0	294	294
FG0000074	BH-BT	637	190	190
FG0000009	BH-BT	5202	7169	7169
FG0000053	BH-BT	568	7155	7155
FG0000349	BH-BT	0	2778	2778
FG0000155	BH-BT	0	420	420
FG0000008	BH-BT	4472	4537	4537
FG0000045	BH-BT	0	1900	1900
FG0000386	BH-BT	0	4717	4717
FG0000136	BH-BT	0	4555	4555
FG0000030	BH-BT	2800	1957	1957
FG0000372	BH-BT	0	28	28
PM0000470	BH-GR	113	0	915
PM0000050	BH-GR	0	0	111
PM0000049	BH-GR	0	0	111
FG0000002	BH-BT	0	20	20
FG0000018	BH-BT	0	58	58
FG0000035	BH-BT	2400	2400	2400
FG0000123	BH-BT	0	960	960
FG0000138	BH-BT	0	33	33
FG0000319	BH-BT	52	2934	2934
FG0000282	BH-BT	0	1520	1520
FG0000433	BH-BT	700	700	700
FG0000440	BH-BT	200	200	200
FG0000408	BH-BT	0	3720	3720
FG0000443	BH-BT	0	95	95
FG0000419	BH-BT	370	370	370
FG0000373	BH-BT	1052	1052	1052
FG0000320	BH-BT	0	33	33
FG0000141	BH-BT	0	273	273
FG0000417	BH-BT	0	3	3
FG0000306	BH-BT	14007	266	266
FG0000192	BH-BT	260	263	263
FG0000140	BH-BT	0	221	221
FG0000042	BH-BT	8524	7	7
FG0000434	BH-BT	548	548	548
FG0000295	BH-BT	0	21	21
PM0000076	BH-GR	0	632	1021
PM0000031	BH-GR	0	0	115
PM0000008	BH-GR	0	0	115
PM0000072	BH-GR	0	0	100
PM0000012	BH-GR	0	0	33.33
