code,factory_name,mark4_name,factory_identity_name,factory_units,mark4_units,units_delta_mark4_minus_factory,factory_litres,mark4_litres,litres_delta_mark4_minus_factory,factory_litres_per_unit,mark4_litres_per_unit
FG0000232,SO OLIVE OIL 5 LTR 4 PCS,SO OLIVE OIL 5 LTR 4 PCS,SO OLIVE OIL 5 LTR 4 PCS,3400.000,3400.0,0.000,17000.000,17000.0,0.000,5.000000,5.0
FG0000250,SOYABEAN OIL 15 KGS,SOYABEAN OIL 15 KGS,SOYABEAN OIL 15 KGS,12133.000,12133.0,0.000,199994.306,200000.0,5.694,16.483500,16.4835
FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,COLD PRESS SUNFLOWER OIL 15 LTR,COLD PRESS SUNFLOWER OIL 15 LTR,1667.000,1667.0,0.000,25005.000,25000.0,-5.000,15.000000,15.0
FG0000282,EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS,EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS,EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS,2500.000,2500.0,0.000,500.000,500.0,0.000,0.200000,0.2
FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,YELLOW MUSTARD OIL 1 LTR 20 PCS,YELLOW MUSTARD OIL 1 LTR 20 PCS,55000.000,55000.0,0.000,55000.000,55000.0,0.000,1.000000,1.0
FG0000324,SESAME OIL 1 LTR 20 PCS,SESAME OIL 1 LTR 20 PCS,SESAME OIL 1 LTR 20 PCS,25000.000,25000.0,0.000,25000.000,25000.0,0.000,1.000000,1.0
FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,SANO POMACE OLIVE 200 LTR 1 PCS,SANO POMACE OLIVE 200 LTR 1 PCS,75.000,75.0,0.000,15000.000,15000.0,0.000,200.000000,200.0
FG0000352,SESAME OIL (TOASTED) 500 MLS 12 PCS,SESAME OIL (TOASTED) 500 MLS 12 PCS,SESAME OIL (TOASTED) 500 MLS 12 PCS,2000.000,2000.0,0.000,1000.000,1000.0,0.000,0.500000,0.5
FG0000362,LA RASOI COLD PRESSED CANOLA OIL 2 LTR 10 PCS HANDLE,LA RASOI COLD PRESSED CANOLA OIL 2 LTR 10 PCS HANDLE,LA RASOI COLD PRESSED CANOLA OIL 2 LTR 10 PCS HANDLE,2000.000,2000.0,0.000,4000.000,4000.0,0.000,2.000000,2.0
FG0000363,LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,2000.000,2000.0,0.000,4000.000,4000.0,0.000,2.000000,2.0
FG0000367,SANO POMACE OLIVE OIL 15 L,SANO POMACE OLIVE OIL 15 L,SANO POMACE OLIVE OIL 15 L,533.000,533.0,0.000,7995.000,8000.0,5.000,15.000000,15.0
FG0000370,EXTRA LIGHT OLIVE 3 LTR TIN 2 PCS,EXTRA LIGHT OLIVE 3 LTR TIN 6 PCS,EXTRA LIGHT OLIVE 3 LTR TIN 2 PCS,1000.000,1000.0,0.000,3000.000,3000.0,0.000,3.000000,3.0
FG0000372,POMACE OLIVE 3 LTR TIN 2 PCS,POMACE OLIVE 3 LTR TIN 6 PCS,POMACE OLIVE 3 LTR TIN 2 PCS,2000.000,2000.0,0.000,6000.000,6000.0,0.000,3.000000,3.0
FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,6600.000,6600.0,0.000,33000.000,33000.0,0.000,5.000000,5.0
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,15000.000,15000.0,0.000,15000.000,15000.0,0.000,1.000000,1.0
FG0000381,EXTRA VIRGIN OLIVE OIL 10ML,EXTRA VIRGIN OLIVE OIL 10ML,EXTRA VIRGIN OLIVE OIL 10ML,3000.000,30000.0,27000.000,30.000,300.0,270.000,0.010000,0.01
FG0000407,COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS,COLD PRESS 1 LTR 20 PCS (NIRMAL RISHI),COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS,60000.000,60000.0,0.000,60000.000,60000.0,0.000,1.000000,1.0
FG0000419,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,10000.000,10000.0,0.000,20000.000,20000.0,0.000,2.000000,2.0
FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,60000.000,62831.0,2831.000,57294.000,60000.0,2706.000,0.954900,0.9549
FG0000429,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,12500.000,12500.0,0.000,25000.000,25000.0,0.000,2.000000,2.0
FG0000440,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,5000.000,5000.0,0.000,5000.000,5000.0,0.000,1.000000,1.0
FG0000441,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,105000.000,105000.0,0.000,21000.000,21000.0,0.000,0.200000,0.2
FG0000443,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,5000.000,5000.0,0.000,5000.000,5000.0,0.000,1.000000,1.0
FG0000445,RICE BRAN OIL 15 KG,RICE BRAN OIL 15 KGS,RICE BRAN OIL 15 KG,607.000,607.0,0.000,10005.484,10000.0,-5.484,16.483500,16.4835
FG0000448,MUSTARD KACHI GHANI 500 ML 24 PCS,MUSTARD KACHI GHANI 500 ML 24 PCS,MUSTARD KACHI GHANI 500 ML 24 PCS,10000.000,10000.0,0.000,5000.000,5000.0,0.000,0.500000,0.5
FG0000449,MUSTARD KACHI GHANI 200 ML 70 PCS,MUSTARD KACHI GHANI 200 ML 35 PCS,MUSTARD KACHI GHANI 200 ML 70 PCS,25000.000,25000.0,0.000,5000.000,5000.0,0.000,0.200000,0.2
FG0000451,COLD PRESS SUNFLOWER OIL 200 ML 70 PCS,COLD PRESS SUNFLOWER OIL 200 ML 35 PCS,COLD PRESS SUNFLOWER OIL 200 ML 70 PCS,25000.000,25000.0,0.000,5000.000,5000.0,0.000,0.200000,0.2
FG0000452,SESAME OIL 500 MLS 12 PCS,SESAME OIL 500 MLS 12 PCS,SESAME OIL 500 MLS 12 PCS,10000.000,10000.0,0.000,5000.000,5000.0,0.000,0.500000,0.5
FG0000454,COLD PRESS GROUNDNUT 500 MLS 24 PCS,COLD PRESS GROUNDNUT 500 MLS 24 PCS,COLD PRESS GROUNDNUT 500 MLS 24 PCS,10000.000,10000.0,0.000,5000.000,5000.0,0.000,0.500000,0.5
