code,name,head,group,base_l,mult,proj_l,proj_t,baseB_l,multB,projB_l,projB_t,low_l,high_l,mid_l,2026_06,2026_07,2026_08
FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,COMMODITY,SUNFLOWER,12772,1.1992,15316,15.32,7636,1.2052,9202,9.2,9202,15316,12259,2460,16590,19267
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,COMMODITY,MUSTARD,15594,0.7338,11443,11.44,12178,0.9876,12026,12.03,11443,12026,11735,15805,20705,10271
FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,PREMIUM,MUSTARD,14854,0.7338,10900,10.9,11628,0.9876,11484,11.48,10900,11484,11192,14246,20686,9631
FG0000389,JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE,COMMODITY,BLENDED,12765,0.9014,11506,11.51,10668,0.9397,10024,10.02,10024,11506,10765,4000,33261,1033
FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,COMMODITY,MUSTARD,16162,0.7338,11860,11.86,8905,0.9876,8794,8.79,8794,11860,10327,10868,16968,20650
FG0000192,SOYABEAN OIL 5 LTR 4 PCS,COMMODITY,SOYABEAN,13373,0.7046,9423,9.42,13349,0.8168,10903,10.9,9423,10903,10163,19735,6745,13640
FG0000145,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS,PREMIUM,CANOLA,5448,1.0155,5533,5.53,14672,0.9678,14200,14.2,5533,14200,9866,11094,5250,0
FG0000404,COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS,PREMIUM,CANOLA,7880,1.0155,8002,8.0,10296,0.9678,9964,9.96,8002,9964,8983,14025,9615,0
FG0000023,COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED,PREMIUM,CANOLA,6683,1.0155,6787,6.79,10972,0.9678,10619,10.62,6787,10619,8703,10518,9252,279
FG0000178,MUSTARD KACHI GHANI 15 KGS,COMMODITY,MUSTARD,10351,0.7338,7595,7.6,8349,0.9876,8245,8.25,7595,8245,7920,3214,19220,8619
FG0000429,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,COMMODITY,MUSTARD,13778,0.7338,10110,10.11,5167,0.9876,5103,5.1,5103,10110,7606,0,0,41333
FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,PREMIUM,OLIVE,8844,1.1122,9836,9.84,4542,1.0279,4668,4.67,4668,9836,7252,3000,7000,16533
