kind,code,name,uom,qty_aug01,planned_august,note
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 625926807 Released/standard posted=2025-06-27 due=2025-06-27 whs=BH-GJ planned=46087.866 completed_by_1Aug=46087.866 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 625926870 Released/standard posted=2025-06-27 due=2025-06-27 whs=BH-GJ planned=47021.931 completed_by_1Aug=47021.931 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 625926824 Released/standard posted=2025-06-28 due=2025-06-28 whs=BH-GJ planned=47307.645 completed_by_1Aug=47307.645 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 625926846 Released/standard posted=2025-06-30 due=2025-06-30 whs=BH-GJ planned=18164.817 completed_by_1Aug=18164.817 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 625926871 Released/standard posted=2025-06-30 due=2025-06-30 whs=BH-GJ planned=28846.125 completed_by_1Aug=28846.125 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 725926623 Released/standard posted=2025-07-04 due=2025-07-04 whs=BH-GJ planned=45857.097 completed_by_1Aug=45857.097 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 725926521 Released/standard posted=2025-07-05 due=2025-07-05 whs=BH-GJ planned=47109.843 completed_by_1Aug=47109.843 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 725926562 Released/standard posted=2025-07-05 due=2025-07-05 whs=BH-GJ planned=46659.294 completed_by_1Aug=46659.294 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 725926566 Released/standard posted=2025-07-07 due=2025-07-07 whs=BH-GJ planned=47197.755 completed_by_1Aug=47197.755 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 725926606 Released/standard posted=2025-07-11 due=2025-07-11 whs=BH-GJ planned=47428.524 completed_by_1Aug=47428.524 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 725926603 Released/standard posted=2025-07-12 due=2025-07-12 whs=BH-GJ planned=47098.854 completed_by_1Aug=47098.854 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 725926619 Released/standard posted=2025-07-12 due=2025-07-12 whs=BH-GJ planned=47373.579 completed_by_1Aug=47373.579 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 725926620 Released/standard posted=2025-07-14 due=2025-07-14 whs=BH-GJ planned=47285.667 completed_by_1Aug=47285.667 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 725926646 Released/standard posted=2025-07-14 due=2025-07-14 whs=BH-GJ planned=46890.063 completed_by_1Aug=46890.063 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 725926653 Released/standard posted=2025-07-15 due=2025-07-15 whs=BH-GJ planned=47406.546 completed_by_1Aug=47406.546 | STALE posted>30d before 1-Aug
WIP,FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,PCS,0,48000,WO 725926679 Released/standard posted=2025-07-19 due=2025-07-19 whs=BH-PF planned=4084 completed_by_1Aug=4084 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 825926657 Released/standard posted=2025-08-14 due=2025-08-14 whs=BH-GJ planned=38395.566 completed_by_1Aug=38395.566 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 825926773 Released/standard posted=2025-08-22 due=2025-08-22 whs=BH-GJ planned=45802.152 completed_by_1Aug=45802.152 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 825926797 Released/standard posted=2025-08-23 due=2025-08-23 whs=BH-GJ planned=43527.429 completed_by_1Aug=43527.429 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 825926799 Released/standard posted=2025-08-24 due=2025-08-24 whs=BH-GJ planned=45054.9 completed_by_1Aug=45054.9 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 825926836 Released/standard posted=2025-08-25 due=2025-08-25 whs=BH-GJ planned=46692.261 completed_by_1Aug=46692.261 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 1025926614 Released/standard posted=2025-10-13 due=2025-10-13 whs=BH-GJ planned=45307.647 completed_by_1Aug=45307.647 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 1025926615 Released/standard posted=2025-10-13 due=2025-10-13 whs=BH-GJ planned=45945.009 completed_by_1Aug=45945.009 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 1025926602 Released/standard posted=2025-10-14 due=2025-10-14 whs=BH-GJ planned=46285.668 completed_by_1Aug=46285.668 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 1025926613 Released/standard posted=2025-10-14 due=2025-10-14 whs=BH-GJ planned=45966.987 completed_by_1Aug=45966.987 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 1025926603 Released/standard posted=2025-10-15 due=2025-10-15 whs=BH-GJ planned=45714.24 completed_by_1Aug=45714.24 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 1025926714 Released/standard posted=2025-10-29 due=2025-10-29 whs=BH-GJ planned=46725.228 completed_by_1Aug=46725.228 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 1025926717 Released/standard posted=2025-10-29 due=2025-10-29 whs=BH-GJ planned=46890.063 completed_by_1Aug=46890.063 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 1025926721 Released/standard posted=2025-10-30 due=2025-10-30 whs=BH-GJ planned=46076.877 completed_by_1Aug=46076.877 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 1025926722 Released/standard posted=2025-10-30 due=2025-10-30 whs=BH-GJ planned=45736.218 completed_by_1Aug=45736.218 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 1125926561 Released/standard posted=2025-11-08 due=2025-11-08 whs=BH-GJ planned=25610.963 completed_by_1Aug=25610.963 | STALE posted>30d before 1-Aug
