code,name,kind,uom,bom_level,make_or_buy,need,onhand,onorder,short_vs_stock,short_net,fastest_days,fastest_vendor,slowest_days,slowest_vendor
PM0000766,TIKKI BARCODE CSD 2 LTR CANOLA,TIKKI,PCS,1,BUY,1284.00,9983.00,0.00,-8699.00,-8699.00,3.0,MEDIA GRAPHIC PRINTS VEND,3.0,MEDIA GRAPHIC PRINTS VEND
PM0000187,SHRINKS 3 LTR/4 LTR,SHRINK,PCS,1,BUY,1229.70,27813.00,32186.00,-26583.30,-58769.30,14.8,MULTILAYER INDUSTRIES,14.8,MULTILAYER INDUSTRIES
PM0000113,HDPE BOTTLE 3 LTR,HDPE BOTTLES,PCS,1,BUY,1226.90,26144.00,45286.00,-24917.10,-70203.10,10.3,ECHO PLAST INDIA,20.0,RAJ TECHNOPACK PVT LTD
PM0000118,LABEL 3 LTR COLD PRESS FRONT,LABEL,PCS,1,BUY,1226.90,24490.00,20186.00,-23263.10,-43449.10,8.7,ROYAL PRIME LABELS,8.7,ROYAL PRIME LABELS
PM0000117,LABEL 3 LTR COLD PRESS BACK,LABEL,PCS,1,BUY,1226.90,27467.00,20186.00,-26240.10,-46426.10,8.7,ROYAL PRIME LABELS,8.7,ROYAL PRIME LABELS
PM0000045,LABEL 5 LTR COLD PRESS BACK 365,LABEL,PCS,1,BUY,1187.45,170783.00,3000.00,-169595.55,-172595.55,10.0,ROYAL PRIME LABELS,42.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000254,CARTON 2 LTR 10 PCS HANDLE BOTTLE,CARTON,PCS,1,BUY,1129.00,4854.05,3322.00,-3725.05,-7047.05,2.7,SSY CONTAINERS PVT LTD,100.0,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000629,CARTON TIN TOP,CARTON,PCS,1,BUY,1046.75,20304.00,6550.00,-19257.25,-25807.25,28.5,SSY CONTAINERS PVT LTD,28.5,SSY CONTAINERS PVT LTD
PM0000072,SHRINKS 5 LTR 400X415 5+1 PCS,SHRINK,PCS,1,BUY,832.20,22977.00,0.00,-22144.80,-22144.80,9.0,MULTILAYER INDUSTRIES,9.0,MULTILAYER INDUSTRIES
PM0000836,TIN 3 LTR EXTRA  VIRGIN CANOLA OIL PRINTED,TIN,PCS,1,BUY,771.40,5.00,0.00,766.40,766.40,17.0,NATIONAL TIN INDUSTRIES,17.0,NATIONAL TIN INDUSTRIES
PM0000128,CARTON 500 MLS 24 PCS,CARTON,PCS,1,BUY,756.33,6404.82,3600.00,-5648.49,-9248.49,5.0,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0,5.0,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000009,CARTON 2 LTR 10 PCS,CARTON,PCS,1,BUY,626.96,3414.80,25.00,-2787.84,-2812.84,15.2,SSY CONTAINERS PVT LTD,15.2,SSY CONTAINERS PVT LTD
PM0000083,TIKKI BARCODE CSD 1 LTR CANOLA,TIKKI,PCS,1,BUY,618.00,14076.00,800.00,-13458.00,-14258.00,3.5,MEDIA GRAPHIC PRINTS VEND,3.5,MEDIA GRAPHIC PRINTS VEND
PM0000593,TIN 15 KGS/LTR MULTI CP KACCHI GHANI MUSTARD OIL  PRINTED,TIN,PCS,1,BUY,558.10,1255.00,3000.00,-696.90,-3696.90,16.6,NATIONAL TIN INDUSTRIES,16.6,NATIONAL TIN INDUSTRIES
PM0000076,TIN 15 LTR,TIN,PCS,1,BUY,488.65,32448.00,21628.00,-31959.35,-53587.35,27.0,NATIONAL TIN INDUSTRIES,39.6,BOXMASTERS INDIA
PM0000029,LABEL 15 LTR COLD PRESS KACHCHI GHANI,LABEL,PCS,1,BUY,372.40,8546.00,0.00,-8173.60,-8173.60,5.0,PACKGEN INTERNATIONAL PVT LTD,8.0,MEDIA GRAPHIC PRINTS VEND
PM0000229,CARTON 4 LTR 5 PCS,CARTON,PCS,1,BUY,320.52,6540.60,1070.00,-6220.08,-7290.08,10.8,SSY CONTAINERS PVT LTD,39.5,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000012,CARTON 5 LTR 3 PCS,CARTON,PCS,1,BUY,277.40,6109.34,1370.00,-5831.94,-7201.94,21.2,SSY CONTAINERS PVT LTD,21.2,SSY CONTAINERS PVT LTD
