code,sku,week,litres
FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,1,500.0
FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,2,500.0
FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,3,500.0
FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,4,500.0
FG0000226,RICE BRAN OIL 5 LTR 4 PCS,1,1500.0
FG0000226,RICE BRAN OIL 5 LTR 4 PCS,2,1500.0
FG0000226,RICE BRAN OIL 5 LTR 4 PCS,3,1500.0
FG0000226,RICE BRAN OIL 5 LTR 4 PCS,4,1500.0
FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,1,6250.0
FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,2,6250.0
FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,3,6250.0
FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,4,6250.0
FG0000324,SESAME OIL 1 LTR 20 PCS,1,1250.0
FG0000324,SESAME OIL 1 LTR 20 PCS,2,1250.0
FG0000324,SESAME OIL 1 LTR 20 PCS,3,1250.0
FG0000324,SESAME OIL 1 LTR 20 PCS,4,1250.0
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,1,2000.0
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,2,2000.0
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,3,2000.0
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,4,2000.0
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,1,3000.0
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,2,3000.0
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,3,3000.0
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,4,3000.0
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,1,1500.0
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,2,1500.0
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,3,1500.0
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,4,1500.0
