code,sku,plan_pieces,fg_onhand,wip,net_required,makeable_stock_only,makeable_with_po,binding_component,binding_component_name,root_binding_component,root_binding_component_name,shortfall_pieces,plan_litres_at_risk,plan_litres,litres_per_piece,makeable_litres_with_po,makeable_litres_stock_only,binding_stock_only,wip_stale_pieces,note
FG0000035,COLD PRESS 500 MLS 24 PCS,10000,984,0,9016,0,0,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,9016,4508.0,5000.0,0.5,0.0,0.0,RM0000002,0,
FG0000067,MUSTARD KACCHI GHANI 3 LTR 6 PCS,1000,0,0,1000,0,0,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,1000,3000.0,3000.0,3.0,0.0,0.0,RM0000003,0,
FG0000370,EXTRA LIGHT OLIVE 3 LTR TIN 6 PCS,1000,81,0,919,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,919,2757.0,3000.0,3.0,0.0,0.0,RM0000001,0,
FG0000449,MUSTARD KACHI GHANI 200 ML 35 PCS,25000,11270,0,13730,0,0,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,13730,2746.0,5000.0,0.2,0.0,0.0,RM0000003,0,
FG0000088,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,2500,1335,0,1165,0,0,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,1165,2330.0,5000.0,2.0,0.0,0.0,RM0000002,0,
FG0000395,JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),2000,0,0,2000,0,0,PM0000344,LABEL 1 LTR EXTRA VIRGIN COCONUT FRONT,PM0000344,LABEL 1 LTR EXTRA VIRGIN COCONUT FRONT,2000,2000.0,2000.0,1.0,0.0,0.0,PM0000344,0,
FG0000137,SANO MUSTARD OIL 5 LTR 4 PCS,400,7,0,393,0,0,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,393,1965.0,2000.0,5.0,0.0,0.0,RM0000003,0,
FG0000187,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,3000,1232,0,1768,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,1768,1768.0,3000.0,1.0,0.0,0.0,RM0000001,0,
FG0000398,JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),1000,0,0,1000,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,1000,1000.0,1000.0,1.0,0.0,0.0,RM0000001,0,
FG0000396,JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),1000,0,0,1000,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,1000,1000.0,1000.0,1.0,0.0,0.0,RM0000001,0,
FG0000397,JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),2000,1,0,1999,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,1999,999.5,1000.0,0.5,0.0,0.0,RM0000001,0,
FG0000104,EXTRA LIGHT OLIVE 100 MLS 10 PCS,10000,97,100,9803,0,0,PM0000394,CAP 100MLS/250MLS PET BOTTLE 1810 LONG NECK,PM0000394,CAP 100MLS/250MLS PET BOTTLE 1810 LONG NECK,9803,980.3,1000.0,0.1,0.0,0.0,PM0000056,100,
FG0000105,EXTRA LIGHT OLIVE 250 MLS 4 PCS,4000,305,0,3695,0,0,PM0000394,CAP 100MLS/250MLS PET BOTTLE 1810 LONG NECK,PM0000394,CAP 100MLS/250MLS PET BOTTLE 1810 LONG NECK,3695,923.8,1000.0,0.25,0.0,0.0,PM0000394,0,
FG0000006,POMACE OLIVE 200 LTR 1 PCS,5,2,0,3,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,3,600.0,1000.0,200.0,0.0,0.0,RM0000001,0,
FG0000155,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,1000,710,0,290,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,290,580.0,2000.0,2.0,0.0,0.0,RM0000001,0,
FG0000352,SESAME OIL (TOASTED) 500 MLS 12 PCS,2000,935,0,1065,0,0,PM0000150,GLASS BOTTLE 500 MLS,PM0000150,GLASS BOTTLE 500 MLS,1065,532.5,1000.0,0.5,0.0,0.0,PM0000150,0,
FG0000394,JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD ),500,3,0,497,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,497,497.0,500.0,1.0,0.0,0.0,RM0000001,0,
