code,name,uom,onhand_aug01,onhand_now,net_moved_since,required_august,cover_pct
PM0000815,LABEL 500 ML PURE TOASTED SESAME OIL BACK,PCS,5000.0,5038.0,38.0,2000.0,250.0
PM0000656,GLASS BOTTLE 250 ML,PCS,8736.0,6953.0,-1783.0,2000.0,436.8
PM0000347,LABEL 250 MLS EXTRA VIRGIN GLASS BOTTLE FRONT,PCS,7000.0,7000.0,0.0,2000.0,350.0
PM0000348,LABEL 250 MLS EXTRA VIRGIN GLASS BOTTLE BACK,PCS,7000.0,7582.0,582.0,2000.0,350.0
RM0000013,POMACE OLIVE LOOSE OIL IMPORTED,LTR,47221.9252,27221.9252,-20000.0,1713.19,2756.37
PM0000891,POUCH SOYABEAN MULTI  KGS,KGS,3470.0,6243.16,2773.16,1665.04,208.4
PM0000276,CARTON CHOCO 375 GMS CHOCO 4 PCS,PCS,266.0,301.44,35.44,1500.0,17.73
PM0000506,CAPS 1 & 2 LTR FULL GREEN PLAIN,PCS,26131.0,26621.0,490.0,1500.0,1742.07
PM0000590,CARTON PET BOTTLE 250 ML 4 PCS,PCS,3425.0,3457.0,32.0,1416.67,241.76
PM0000182,CARTON 3 LTR 6 PCS,PCS,502.0,1058.5,556.5,1277.83,39.29
PM0000083,TIKKI BARCODE CSD 1 LTR CANOLA,PCS,6825.0,6825.0,0.0,1200.0,568.75
PM0000766,TIKKI BARCODE CSD 2 LTR CANOLA,PCS,6650.0,6650.0,0.0,1200.0,554.17
PM0000052,LABEL 5 LTR REFINED FRONT,PCS,6550.0,4189.0,-2361.0,1200.0,545.83
PM0000051,LABEL 5 LTR REFINED BACK,PCS,3506.0,885.0,-2621.0,1200.0,292.17
PM0000335,TIKKI 250 MLS,PCS,0.0,1080.0,1080.0,1200.0,0.0
PM0000765,TIKKI BARCODE CSD 5 LTR CANOLA,PCS,0.0,0.0,0.0,1200.0,0.0
PM0000128,CARTON 500 MLS 24 PCS,PCS,6238.0,5533.69,-704.31,1041.67,598.85
PM0000831,TIN 3 LTR EXTRA LIGHT OLIVE PRINTED,PCS,1016.0,1018.0,2.0,1000.0,101.6
PM0000062,CAPS 5 LTR,PCS,2968.0,0.0,-2968.0,1000.0,296.8
PM0000264,LABEL 3 LTR KACHCHI GHANI FRONT,PCS,5300.0,5300.0,0.0,1000.0,530.0
PM0000263,LABEL 3 LTR KACHCHI GHANI BACK,PCS,5300.0,5300.0,0.0,1000.0,530.0
PM0000417,LABEL 2 LTR EXTRA VIRGIN OLIVE OIL FRONT,PCS,0.0,527.0,527.0,1000.0,0.0
PM0000418,LABEL 2 LTR EXTRA VIRGIN OLIVE OIL BACK,PCS,0.0,1027.0,1027.0,1000.0,0.0
RM0000053,LOOSE OIL SESAME SEED OIL (TOASTED),LTR,13002.37,13002.37,0.0,1000.0,1300.24
PM0000415,LABEL 500 MLS EXTRA VIRGIN COCONUT FRONT,PCS,0.0,1177.0,1177.0,1000.0,0.0
PM0000416,LABEL 500 MLS EXTRA VIRGIN COCONUT BACK,PCS,0.0,1177.0,1177.0,1000.0,0.0
PM0000183,LABEL 500 MLS EXTRA LIGHT FRONT,PCS,0.0,25882.0,25882.0,1000.0,0.0
PM0000184,LABEL 500 MLS EXTRA LIGHT BACK,PCS,0.0,25882.0,25882.0,1000.0,0.0
PM0000465,LABEL 13 KGS REFINED COTTON SEED OIL,PCS,12300.0,12311.0,11.0,700.0,1757.14
PM0000409,CARTON 1 LTR POMACE 16 PCS PLAIN,PCS,2023.0,1961.18,-61.82,687.5,294.25
PM0000430,LABEL 15 LTR REFINED COTTON SEED,PCS,4070.0,3070.0,-1000.0,667.0,610.19
PM0000362,LABEL 15 LTR REFINED RICE BRAN OIL,PCS,0.0,0.0,0.0,667.0,0.0
PM0000895,LABEL 15 KG REFINED RICE BRAN OIL,PCS,0.0,22.0,22.0,607.0,0.0
PM0000029,LABEL 15 LTR COLD PRESS KACHCHI GHANI,PCS,794.0,1491.0,697.0,600.0,132.33
PM0000884,SHRINK POF ROLL KG,KGS,745.2,1263.6,518.4,535.2,139.24
PM0000871,TIKKI BARCODE CSD 1 LTR COCONUT EV,PCS,104.0,7575.0,7471.0,500.0,20.8
PM0000658,CARTON 250 MLS GLASS BOTTLE 4 PCS,PCS,2336.0,1931.0,-405.0,500.0,467.2
PM0000084,PET BOTTLE 5 LTR,PCS,0.0,22.0,22.0,400.0,0.0
PM0000372,LABEL 5 LTR MUSTARD FRONT SANO,PCS,5800.0,8727.0,2927.0,400.0,1450.0
PM0000371,LABEL 5 LTR MUSTARD BACK SANO,PCS,5800.0,8823.0,3023.0,400.0,1450.0
PM0000875,TIKKI BARCODE CSD 500 ML EV,PCS,72.0,8306.0,8234.0,333.33,21.6
PM0000868,LABEL 15 LTR SANO POMACE,PCS,25.0,67.0,42.0,333.0,7.51
PM0000876,TIKKI BARCODE CSD EXTRA LIGHT 1 LTR,PCS,104.0,4384.0,4280.0,250.0,41.6
PM0000874,TIKKI BARCODE CSD 1 LTR EV,PCS,116.0,5040.0,4924.0,250.0,46.4
PM0000660,TIN STRIP,KGS,920.004,930.434,10.43,242.48,379.41
PM0000838,CARTON 2 LTR 10 PCS HANDLE BOTTLE PLAIN,PCS,1902.0,1125.0,-777.0,200.0,951.0
PM0000073,MS COATED DRUM 200 LTR,PCS,257.0,67.0,-190.0,180.0,142.78
PM0000309,POUCH 1 LTR MUSTARD ROLLS KGS,KGS,0.0,0.0,0.0,166.67,0.0
PM0000153,CARTON 500 MLS EXTRA VIRGIN 12 PCS,PCS,5.0,10.16,5.16,166.67,3.0
PM0000873,TIKKI BARCODE CSD 1 LTR POMACE,PCS,49.0,2215.0,2166.0,125.0,39.2
PM0000130,POUCH REFINED MULTI ROLLS KGS,KGS,980.0033,980.0033,0.0,86.67,1130.73
PM0000887,LABEL 200 LTR POMACE SANO,PCS,12.0,14.0,2.0,25.0,48.0
