date,warehouse,sap_onhand_l,invoiced_not_dispatched_l,at_gate_l,physical_l,ceiling_l,free_l,pct_full,invoiced_not_dispatched_intercompany_l,physical_incl_intercompany_l,stale_open_bills_l,basis
2025-03-16,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-17,BH-PF,114270,0,0,114270,377000,262730,30.3,0,114270,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-17,OIL-FG-TOTAL (BH-BT+BH-PF),114270,0,0,114270,377000,262730,30.3,0,114270,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-17,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-17,BH-FG (overflow / secondary),574187,,0,574187,,,,,574187,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-17,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-18,BH-PF,128128,0,0,128128,377000,248872,34.0,0,128128,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-18,OIL-FG-TOTAL (BH-BT+BH-PF),128128,0,0,128128,377000,248872,34.0,0,128128,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-18,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-18,BH-FG (overflow / secondary),556055,,0,556055,,,,,556055,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-18,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-19,BH-PF,172891,0,0,172891,377000,204109,45.9,0,172891,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-19,OIL-FG-TOTAL (BH-BT+BH-PF),172891,0,0,172891,377000,204109,45.9,0,172891,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-19,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-19,BH-FG (overflow / secondary),517614,,0,517614,,,,,517614,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-19,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-20,BH-PF,241068,0,0,241068,377000,135932,63.9,0,241068,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-20,OIL-FG-TOTAL (BH-BT+BH-PF),241068,0,0,241068,377000,135932,63.9,0,241068,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-20,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-20,BH-FG (overflow / secondary),498657,,0,498657,,,,,498657,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-20,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-21,BH-PF,171193,0,0,171193,377000,205807,45.4,0,171193,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-21,OIL-FG-TOTAL (BH-BT+BH-PF),171193,0,0,171193,377000,205807,45.4,0,171193,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-21,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-21,BH-FG (overflow / secondary),547107,,0,547107,,,,,547107,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
