code,name,kind,uom,need,on_hand,on_order,cover_pct,short,at_zero,skus_blocked,litres_at_risk,value_at_risk,lead_days,first_short_day,order_by,order_basis,status,skus
PM0000183,LABEL 500 MLS EXTRA LIGHT FRONT,PACK,PCS,1000,25882,0,999.9,0,,0,0,0,6,,,,covered,EXTRA LIGHT OLIVE 500 MLS 24 P
PM0000184,LABEL 500 MLS EXTRA LIGHT BACK,PACK,PCS,1000,25882,0,999.9,0,,0,0,0,6,,,,covered,EXTRA LIGHT OLIVE 500 MLS 24 P
PM0000186,HDPE BOTTLE 5 LTR OLIVE GREEN,PACK,PCS,6000,3673,13370,284.1,0,,0,0,0,6,,,,covered,SOYABEAN OIL 5 LTR 4 PCS
PM0000187,SHRINKS 3 LTR/4 LTR,PACK,PCS,6667,22945,0,344.2,0,,0,0,0,6,,,,covered,COLD PRESS 3 LTR 6 PCS
PM0000224,TIKKI 1+1 COMBO PACK 650,PACK,PCS,15000,32892,0,219.3,0,,0,0,0,6,,,,covered,COLD PRESS 1 LTR + 1 LTR COMBO
PM0000230,LABEL 1 LTR SUNFLOWER FRONT,PACK,PCS,335000,198156,200000,118.9,0,,0,0,0,6,,,,covered,COLD PRESS SUNFLOWER 1 LTR +1 ;COLD PRESS SUNFLOWER 1 LTR 20 
PM0000231,LABEL 1 LTR SUNFLOWER BACK,PACK,PCS,335000,188865,200000,116.1,0,,0,0,0,6,,,,covered,COLD PRESS SUNFLOWER 1 LTR +1 ;COLD PRESS SUNFLOWER 1 LTR 20 
PM0000232,LABEL 5 LTR SUNFLOWER BACK,PACK,PCS,22000,22201,25000,214.6,0,,0,0,0,6,,,,covered,COLD PRESS SUNFLOWER 5 LTR 4 P
PM0000233,LABEL 5 LTR SUNFLOWER FRONT,PACK,PCS,22000,20645,25000,207.5,0,,0,0,0,6,,,,covered,COLD PRESS SUNFLOWER 5 LTR 4 P
PM0000251,PET BOTTLE 2 LTR 80 GMS YELLOW HANDLE,PACK,PCS,31500,497,56522,181.0,0,,0,0,0,6,,,,covered,COLD PRESS GROUNDNUT OIL 2 LTR;EXTRA LIGHT OIVE 2 LTR 10 PCS ;LA RASOI COLD PRESSED CANOLA O;LA RASOI COLD PRESSED MUSTARD ;POMACE OLIVE 2 LTR 10 PCS HAND
PM0000254,CARTON 2 LTR 10 PCS HANDLE BOTTLE,PACK,PCS,1750,3753,2122,335.7,0,,0,0,0,6,,,,covered,COLD PRESS 2 LTR 10 PCS HANDLE;COLD PRESS GROUNDNUT OIL 2 LTR;EXTRA VIRGIN 2 LTR 10 PCS HAND;POMACE OLIVE 2 LTR 10 PCS HAND
PM0000259,TIN 5 LTR EXTRA VIRGIN OLIVE PRINTED IMPORTED,PACK,PCS,2000,18,5000,250.9,0,,0,0,0,6,,,,covered,EXTRA VIRGIN OLIVE 5 LTR TIN 4
PM0000265,LABEL 2 LTR CP CANOLA HANDLE BOTTLE BACK,PACK,PCS,2500,3700,0,148.0,0,,0,0,0,6,,,,covered,COLD PRESS 2 LTR 10 PCS HANDLE
PM0000266,LABEL 2 LTR CP CANOLA HANDLE BOTTLE FRONT,PACK,PCS,2500,3700,0,148.0,0,,0,0,0,6,,,,covered,COLD PRESS 2 LTR 10 PCS HANDLE
PM0000270,LABEL 15 LTR COLD PRESS SUNFLOWER OIL,PACK,PCS,1667,3591,0,215.4,0,,0,0,0,6,,,,covered,COLD PRESS SUNFLOWER OIL 15 LT
PM0000288,LABEL 5 LTR SOYABEAN BACK,PACK,PCS,6000,8200,0,136.7,0,,0,0,0,6,,,,covered,SOYABEAN OIL 5 LTR 4 PCS
PM0000289,LABEL 5 LTR SOYABEAN FRONT,PACK,PCS,6000,8640,0,144.0,0,,0,0,0,6,,,,covered,SOYABEAN OIL 5 LTR 4 PCS
PM0000307,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL BACK,PACK,PCS,55000,9004,100000,198.2,0,,0,0,0,6,,,,covered,YELLOW MUSTARD OIL 1 LTR 20 PC
PM0000308,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL FRONT,PACK,PCS,55000,8904,100000,198.0,0,,0,0,0,6,,,,covered,YELLOW MUSTARD OIL 1 LTR 20 PC
PM0000309,POUCH 1 LTR MUSTARD ROLLS KGS,PACK,KGS,167,0,1000,600.0,0,,0,0,0,6,,,,covered,MUSTARD KACHHI GHANI 1 LTR POU
PM0000344,LABEL 1 LTR EXTRA VIRGIN COCONUT FRONT,PACK,PCS,6000,36915,0,615.2,0,,0,0,0,6,,,,covered,EXTRA VIRGIN COCONUT OIL 1 LTR
PM0000345,LABEL 1 LTR EXTRA VIRGIN COCONUT BACK,PACK,PCS,6000,36915,0,615.2,0,,0,0,0,6,,,,covered,EXTRA VIRGIN COCONUT OIL 1 LTR
PM0000347,LABEL 250 MLS EXTRA VIRGIN GLASS BOTTLE FRONT,PACK,PCS,2000,7000,0,350.0,0,,0,0,0,6,,,,covered,EXTRA VIRGIN OLIVE 250 MLS 4 P
PM0000348,LABEL 250 MLS EXTRA VIRGIN GLASS BOTTLE BACK,PACK,PCS,2000,7582,0,379.1,0,,0,0,0,6,,,,covered,EXTRA VIRGIN OLIVE 250 MLS 4 P
PM0000358,HDPE BOTTLE 5 LTR GOLD,PACK,PCS,6000,265,56625,948.2,0,,0,0,0,6,,,,covered,JIVO GOLD 5 LTR 4 PCS
PM0000359,LABEL 5 LTR GOLD FRONT NEW,PACK,PCS,6000,17606,0,293.4,0,,0,0,0,6,,,,covered,JIVO GOLD 5 LTR 4 PCS
PM0000360,LABEL 5 LTR GOLD BACK NEW,PACK,PCS,6000,17596,0,293.3,0,,0,0,0,6,,,,covered,JIVO GOLD 5 LTR 4 PCS
