row,code,brand,head,category,sub,sku,per_ltrs,pack_type,ltrs_box,case_pack,total_pcs,gt_mt_roi_t,ecom_t,total_t
92,FG0000397,JIVO ,PREMIUM,CSD,EXTRA VIRGIN,JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),500ML,PET,#VALUE!,20,2000.0,1.0,0.0,1.0
93,FG0000157,JIVO,PREMIUM,COCONUT,EV COCONUT,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,500ML,PET,#VALUE!,24,1000.0,0.5,0.0,0.5
94,FG0000039,JIVO,PREMIUM,EXTRA LIGHT,JIVO EL,EXTRA LIGHT OLIVE 500 MLS 24 PCS,500ML,PET,#VALUE!,24,1000.0,0.5,0.0,0.5
95,FG0000112,JIVO,PREMIUM,EXTRA VIRGIN,EXTRA VIRGIN,EXTRA VIRGIN OLIVE 250 MLS 4 PCS,200 ML,PET,#VALUE!,4,2000.0,0.5,0.0,0.5
96,FG0000161,JIVO,PREMIUM,EXTRA VIRGIN,EXTRA VIRGIN,EXTRA VIRGIN OLIVE 500 MLS 24 PCS,500ML,PET,#VALUE!,12,1000.0,0.5,0.0,0.5
97,FG0000394,JIVO ,PREMIUM,CSD,POMACE,JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD ),1,PET 52 GRAM,24,24,500.0,0.5,0.0,0.5
98,FG0000282,JIVO,PREMIUM,COCONUT,COCONUT,EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS,200 ML,PET,#VALUE!,6,2500.0,0.5,0.0,0.5
99,FG0000400,JIVO,COMMODITY,CSD,JIVO MUSTARD,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 1 LTR 20 PCS ( CSD ),1,,,,0.0,0.0,0.0,0.0
100,FG0000399,JIVO,COMMODITY,CSD,JIVO MUSTARD,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD ),5,,,,0.0,0.0,0.0,0.0
101,FG0000154,JIVO,COMMODITY,CSD,JIVO MUSTARD,MUSTARD OIL 100 MLS 20 PCS,0.1,,,,0.0,0.0,0.0,0.0
