item,item_code,qty,uom,supplier,region,contract_ref,contract_date,delivery_by,delivered,pending,rate,value_inr,status
COCONUT EXTRA VIRGIN OIL,RM0000037,5.0000,MT,SAMSON GLOBAL PRIVATE LIMITED,Tamil Nadu (TN),DC-161|PO-1125226517,2025-11-22,2025-12-03,5.0000,0.0000,356000.00,1780000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,INDRANI FOODS,Haryana (HR),DC-159|PO-1125226626,2025-11-20,2025-12-01,42.1100,0.8900,286000.00,12298000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-160|PO-1125226537,2025-11-13,2025-12-01,42.5400,0.4600,122400.00,5263200.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,LEGACY COMMODITIES PRIVATE LIMITED(VEND),Gujarat (GJ),DC-263|PO-1025226569,2025-11-03,2025-11-10,41.6700,0.3300,122700.00,5153400.00,dc/FACTORY
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-264|PO-1025226570,2025-11-01,2025-11-14,41.8100,0.1900,122500.00,5145000.00,dc/FACTORY
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,LEGACY COMMODITIES PRIVATE LIMITED(VEND),Gujarat (GJ),DC-261|PO-1025226569,2025-10-30,2025-11-06,41.6600,0.3400,122700.00,5153400.00,dc/FACTORY
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,BD EDIBLE OILS PVT LTD,Rajasthan (RJ),DC-260|PO-1025226542,2025-10-29,2025-11-06,41.9300,0.0700,123800.00,5199600.00,dc/FACTORY
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,BD EDIBLE OILS PVT LTD,Rajasthan (RJ),DC-259|PO-1025226542,2025-10-28,2025-11-01,41.5700,0.4300,123800.00,5199600.00,dc/FACTORY
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,LEGACY COMMODITIES PRIVATE LIMITED(VEND),Gujarat (GJ),DC-262|PO-1025226569,2025-10-28,2025-11-08,41.8600,0.1400,122700.00,5153400.00,dc/FACTORY
CANOLA COLD PRESS LOOSE OIL OLD,RM0000002,42.0000,MT,AL GHURAIR RESOURCES OILS & PROTIENS L L C,AE (foreign-registered vendor),DC-178|PO-VARPL/2526/4613,2025-10-24,2026-01-01,41.5500,0.4500,140000.00,5880000.00,dc/RECEIVED|foreign-registered-vendor
MUSTARD LOOSE OIL,RM0000003,43.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-258|PO-825226553,2025-08-23,2025-09-05,41.9800,1.0200,164000.00,7052000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,MAHA MAYA FOOD PRODUCTS PRIVATE LIMITED,Haryana (HR),DC-105|PO-825226601,2025-08-14,2025-08-28,42.5900,0.4100,250000.00,10750000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,30.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-106|PO-825226507,2025-08-12,2025-08-19,28.9300,1.0700,166000.00,4980000.00,dc/RECEIVED
