code,name,kind,open_qty_aug01,uom,vendor,ordered_on,due_on,at_gate_qty,lead_median_d,lead_p90_d,orders_sampled,typical_order_qty,row_type,credibility,po_num,po_age_days_at_aug01,lead_median_full_d,lead_source,min_order_qty_seen,canonical_code,warehouse,note
PM0000054,PET BOTTLE 1 LTR 26 GMS,BOTTLE,150000.0,PCS,BR AGROTECH LTD,2025-12-10,2025-12-10,0,6,33,7,100000.0,OPEN_PO,STALE_DEAD,1225226537,234,51,ITEM,3780.0,PM0000054,BH-PM,
PM0000594,PREFORM 40 GMS 36 MM,PREFORM,145400.0,PCS,FRYSTAL PET PRIVATE LIMITED,2026-03-06,2026-03-06,0,4.0,17,16,100000.0,OPEN_PO,STALE_DEAD,326226509,148,11.0,ITEM,500.0,PM0000594,BH-PM,
CF0000036,TIN SHED-NEW LAND WIP II,CONSUMABLE,144800.0,NULL,WILLUS INFRASTRUCTURE PRIVATE LIMITED,2026-02-17,2026-02-28,0,6,18,7,4500.0,OPEN_PO,STALE_DEAD,226226559,165,6,ITEM,1.0,CF0000036,BH-FA,
CF0000036,PEB SHED CANOLA NEW LAND 2 ACRE,CONSUMABLE,144800.0,NULL,WILLUS INFRASTRUCTURE PRIVATE LIMITED,2026-02-18,2026-02-28,0,6,18,7,4500.0,OPEN_PO,STALE_DEAD,226226562,164,6,ITEM,1.0,CF0000036,BH-FA,
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,CAP,139000.0,PCS,BABAJI UDYOG PVT. LTD.,2026-07-14,2026-07-14,0,9.5,25,12,150000.0,OPEN_PO,LIVE,220726085,18,21.0,ITEM,53000.0,PM0000079,BH-PM,
RM0000009,REFINED SUNFLOWER OIL,OIL,136867.99,LTR,KUTCH CHEMICAL INDUSTRIES LIMITED,2024-10-23,2024-10-23,0,9.5,12,2,46087.9,OPEN_PO,STALE_DEAD,1024226641,647,9.5,ITEM,45208.75,RM0000009,BH-FG,
PM0000194,PET BOTTLE 1 LTR 40 GMS,BOTTLE,135000.0,PCS,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),2024-10-09,2024-10-09,0,4,36,21,100000.0,OPEN_PO,STALE_DEAD,1024226541,661,9,ITEM,5200.0,PM0000194,BH-PM,
PM0000506,CAPS 1 & 2 LTR FULL GREEN PLAIN,CAP,132000.0,PCS,MAHESHWARI CAPS PVT LTD,2024-11-22,2024-11-22,0,26,29,3,52500.0,OPEN_PO,STALE_DEAD,1124226646,617,26,ITEM,9000.0,PM0000506,BH-PM,
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,CAP,126000.0,PCS,BABAJI UDYOG PVT. LTD.,2026-06-03,2026-06-03,0,9.5,25,12,150000.0,OPEN_PO,LIVE,220626015,59,21.0,ITEM,53000.0,PM0000079,BH-PM,
PM0000194,PET BOTTLE 1 LTR 40 GMS,BOTTLE,120000.0,PCS,TPAC PACKAGING INDIA PVT LTD II,2024-10-09,2024-10-09,0,4,36,21,100000.0,OPEN_PO,STALE_DEAD,1024226537,661,9,ITEM,5200.0,PM0000194,BH-FG,
PM0000054,PET BOTTLE 1 LTR 26 GMS,BOTTLE,112956.0,PCS,TPAC PACKAGING INDIA PVT LTD II,2025-12-09,2025-12-09,0,6,33,7,100000.0,OPEN_PO,STALE_DEAD,1225226535,235,51,ITEM,3780.0,PM0000054,BH-PM,
PM0000075,TAPE LOGO PRINTED,TAPE,108240.0,MTR,SHRI PATA ENTERPRISES,2026-07-25,2026-07-25,0,5,11,9,246750.0,OPEN_PO,LIVE,220726112,7,5,ITEM,108240.0,PM0000075,BH-PM,
PM0000851,PET BOTTLE 1 LTR 26 GM,BOTTLE,104064.0,PCS,TPAC PACKAGING INDIA PVT LTD II,2026-01-01,2026-01-01,0,12,17,9,129255.0,OPEN_PO,STALE_DEAD,126226709,212,15,ITEM,11856.0,PM0000851,BH-PM,
PM0000054,PET BOTTLE 1 LTR 26 GMS,BOTTLE,103404.0,PCS,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),2025-06-12,2025-06-12,0,6,33,7,100000.0,OPEN_PO,STALE_DEAD,625226532,415,51,ITEM,3780.0,PM0000054,BH-PM,
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,BOTTLE,100000.0,PCS,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),2024-10-09,2024-10-09,0,3,27,19,100000.0,OPEN_PO,STALE_DEAD,1024226541,661,37,ITEM,5012.0,PM0000121,BH-PM,
PM0000577,LABEL 1 LTR MUSTARD BACK 900 GM SANO,LABEL,100000.0,PCS,ROYAL PRIME LABELS,2025-05-26,2025-05-26,0,10,10,1,60000.0,OPEN_PO,STALE_DEAD,525226629,432,10,ITEM,60000.0,PM0000577,BH-PM,
PM0000578,LABEL 1 LTR MUSTARD FRONT 900 GM SANO,LABEL,100000.0,PCS,ROYAL PRIME LABELS,2025-05-26,2025-05-26,0,10,10,1,50000.0,OPEN_PO,STALE_DEAD,525226629,432,10,ITEM,50000.0,PM0000578,BH-PM,
PM0000574,LABEL 1 LTR SOYABEAN FRONT 900 GM SANO,LABEL,100000.0,PCS,DARBI PRINT PACK,2025-06-20,2025-06-20,0,8.0,19,0,,OPEN_PO,STALE_DEAD,625226591,407,,CLASS_FALLBACK,,PM0000574,BH-PM,
PM0000573,LABEL 1 LTR SOYABEAN BACK 900 GM SANO,LABEL,100000.0,PCS,DARBI PRINT PACK,2025-06-20,2025-06-20,0,8.0,19,0,,OPEN_PO,STALE_DEAD,625226591,407,,CLASS_FALLBACK,,PM0000573,BH-PM,
PM0000060,CAPS 1 & 2 LTR WHITE AND BLUE WITH LOGO,CAP,100000.0,PCS,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),2025-12-18,2025-12-18,0,12,13,5,100000.0,OPEN_PO,STALE_DEAD,1225226592,226,20,ITEM,24000.0,PM0000060,BH-PM,
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,BOTTLE,100000.0,PCS,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),2026-02-26,2026-02-26,0,4,15,3,100000.0,OPEN_PO,STALE_DEAD,226226590,156,15,ITEM,30000.0,PM0000058,BH-PM,
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,LABEL,100000.0,PCS,ZENBI INTERNATIONAL PRIVATE LIMITED,2026-06-23,2026-06-23,0,6.5,10,8,200000.0,OPEN_PO,LIVE,220626132,39,8.0,ITEM,100000.0,PM0000019,BH-PM,
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,LABEL,100000.0,PCS,ZENBI INTERNATIONAL PRIVATE LIMITED,2026-06-23,2026-06-23,0,6.5,10,8,200000.0,OPEN_PO,LIVE,220626132,39,8.0,ITEM,100000.0,PM0000020,BH-PM,
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,CAP,100000.0,PCS,BABAJI UDYOG PVT. LTD.,2026-07-14,2026-07-14,0,8,22,13,250000.0,OPEN_PO,LIVE,220726085,18,13,ITEM,100000.0,PM0000235,BH-PM,
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,BOTTLE,100000.0,PCS,PARAMBA POLYMER,2026-07-16,2026-07-16,0,4,15,3,100000.0,OPEN_PO,LIVE,220726073,16,15,ITEM,30000.0,PM0000058,BH-PM,
PM0000584,PET BOTTLE 1 LTR 26 GM SANO,BOTTLE,97888.0,PCS,ECHO PLAST INDIA,2025-04-03,2025-04-03,0,16.0,26,2,150000.0,OPEN_PO,STALE_DEAD,425226513,485,94.0,ITEM,150000.0,PM0000584,BH-FG,
CG0000031,BARCODE LABELS,CONSUMABLE,95200.0,PCS,BHAGWATI INDUSTRIES,2025-12-02,2025-12-10,0,4.0,7,22,68600.0,OPEN_PO,STALE_DEAD,1225226530,242,4.0,ITEM,24.0,CG0000031,BH-FA,
RM0000025,SOYABEAN REFINED LOOSE OIL,OIL,94835.07,LTR,CONCEPT COLOUR,2025-02-20,2025-02-20,0,13,22,137,45505.4,OPEN_PO,STALE_DEAD,225226616,527,13,ITEM,656.04,RM0000025,BH-GJ,
RM0000035,COLD PRESS RAPESSED OIL CANOLA OIL,OIL,94505.4,LTR,WEB DIVE ENTERPRISE LLP AAEFW4174F,2025-02-22,2025-02-22,0,7.5,11,8,45307.6,OPEN_PO,STALE_DEAD,225226633,525,7.5,ITEM,2879.12,RM0000002,BH-GJ,
RM0000025,SOYABEAN REFINED LOOSE OIL,OIL,94505.4,LTR,DEEN DAYAL AGRO INDUSTRIES,2025-03-07,2025-03-07,0,13,22,137,45505.4,OPEN_PO,STALE_DEAD,325226551,512,13,ITEM,656.04,RM0000025,BH-GJ,
