item,item_code,rate_type,rate,currency,unit,as_of,source_endpoint
Mustard Refined,,market_with_gst_ltr,186.8000,INR,per LTR,2026-08-28,GET /daily-price/db-list/
Palmoline,,market_factory,127.7800,INR,per KG,2026-02-19,GET /daily-price/db-list/
Palmoline,,market_factory_ltr,116.2798,INR,per LTR (kg x0.91),2026-02-19,GET /daily-price/db-list/ (derived)
Palmoline,,market_with_gst_ltr,132.6000,INR,per LTR,2026-02-19,GET /daily-price/db-list/
Refined Palmoline Oil,,market_factory,148.7800,INR,per KG,2026-08-28,GET /daily-price/db-list/
Refined Palmoline Oil,,market_factory_ltr,135.3898,INR,per LTR (kg x0.91),2026-08-28,GET /daily-price/db-list/ (derived)
Refined Palmoline Oil,,market_with_gst_ltr,155.5300,INR,per LTR,2026-08-28,GET /daily-price/db-list/
Ricebran DO,,market_factory,146.2800,INR,per KG,2026-08-28,GET /daily-price/db-list/
Ricebran DO,,market_factory_ltr,133.1148,INR,per LTR (kg x0.91),2026-08-28,GET /daily-price/db-list/ (derived)
Ricebran DO,,market_with_gst_ltr,153.1400,INR,per LTR,2026-08-28,GET /daily-price/db-list/
Ricebran Refined,,market_factory,152.0000,INR,per KG,2026-08-28,GET /daily-price/db-list/
Ricebran Refined,,market_factory_ltr,138.3200,INR,per LTR (kg x0.91),2026-08-28,GET /daily-price/db-list/ (derived)
Ricebran Refined,,market_with_gst_ltr,158.6100,INR,per LTR,2026-08-28,GET /daily-price/db-list/
Soya DO,,market_factory,145.2000,INR,per KG,2026-08-28,GET /daily-price/db-list/
Soya DO,,market_factory_ltr,132.1320,INR,per LTR (kg x0.91),2026-08-28,GET /daily-price/db-list/ (derived)
Soya DO,,market_with_gst_ltr,152.1200,INR,per LTR,2026-08-28,GET /daily-price/db-list/
Soya Refined,,market_factory,147.0800,INR,per KG,2026-08-28,GET /daily-price/db-list/
Soya Refined,,market_factory_ltr,133.8428,INR,per LTR (kg x0.91),2026-08-28,GET /daily-price/db-list/ (derived)
Soya Refined,,market_with_gst_ltr,153.9100,INR,per LTR,2026-08-28,GET /daily-price/db-list/
Sunflower,,market_factory,178.0000,INR,per KG,2026-08-28,GET /daily-price/db-list/
Sunflower,,market_factory_ltr,161.9800,INR,per LTR (kg x0.91),2026-08-28,GET /daily-price/db-list/ (derived)
Sunflower,,market_with_gst_ltr,183.4600,INR,per LTR,2026-08-28,GET /daily-price/db-list/
Cotton Refined 13 Kg Tin,,jivo_sell_pack,2567.0000,INR,per pack (13 Kg Tin),2026-08-28,GET /jivo-rate/range/
Cotton Refined 15 Kg Tin,,jivo_sell_pack,2962.0000,INR,per pack (15 Kg Tin),2026-08-28,GET /jivo-rate/range/
Cotton Refined 15 Ltr Tin,,jivo_sell_pack,2695.0000,INR,per pack (15 Ltr Tin),2026-08-28,GET /jivo-rate/range/
Mustard 13 Kg Tin,,jivo_sell_pack,2622.0000,INR,per pack (13 Kg Tin),2026-08-28,GET /jivo-rate/range/
Mustard 15 Kg Tin,,jivo_sell_pack,3025.0000,INR,per pack (15 Kg Tin),2026-08-28,GET /jivo-rate/range/
Mustard 15 Ltr Tin,,jivo_sell_pack,2753.0000,INR,per pack (15 Ltr Tin),2026-08-28,GET /jivo-rate/range/
Mustard Bottle 1 Ltr,,jivo_sell_pack,184.0000,INR,per pack (Bottle 1 Ltr),2026-08-28,GET /jivo-rate/range/
Mustard Pouch 1 Ltr,,jivo_sell_pack,179.0000,INR,per pack (Pouch 1 Ltr),2026-08-28,GET /jivo-rate/range/
Ricebran Refined 13 Kg Tin,,jivo_sell_pack,2315.0000,INR,per pack (13 Kg Tin),2026-08-28,GET /jivo-rate/range/
Ricebran Refined 15 Kg Tin,,jivo_sell_pack,2671.0000,INR,per pack (15 Kg Tin),2026-08-28,GET /jivo-rate/range/
Ricebran Refined 15 Ltr Tin,,jivo_sell_pack,2430.0000,INR,per pack (15 Ltr Tin),2026-08-28,GET /jivo-rate/range/
Ricebran Refined Bottle 1 Ltr,,jivo_sell_pack,162.0000,INR,per pack (Bottle 1 Ltr),2026-08-28,GET /jivo-rate/range/
Ricebran Refined Pouch 1 Ltr,,jivo_sell_pack,158.0000,INR,per pack (Pouch 1 Ltr),2026-08-28,GET /jivo-rate/range/
SOYA 13 Kg Tin,,jivo_sell_pack,2262.0000,INR,per pack (13 Kg Tin),2026-08-28,GET /jivo-rate/range/
