FAM_KEY	TN_SAMPLE	YM	DISP_DOCS	DISP_VAL_L	EXT_DISP_VAL_L	LR_PCT	VEH_PCT	VARIANTS	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP
ZZ_OTHER	(all other transporters)	2024-11	1	1.7	1.7	100	100	1	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2024-12	2	0.37	0.37	100	50	2	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2025-01	4	0	0	100	100	1	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2025-02	5	3.14	3.14	100	100	3	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2025-03	4	1.16	1.16	100	75	3	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2025-04	5	4.49	4.2	100	100	5	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2025-05	2	2.09	2.09	100	100	2	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2025-06	7	4.42	4.01	100	100	6	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2025-07	5	1.68	1.68	100	100	3	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2025-08	4	2.06	1.76	100	100	3	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2025-09	1	0.29	0.29	100	100	1	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2025-10	8	5.09	2.21	100	100	8	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2025-11	3	0.75	0.71	100	100	3	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2025-12	5	2.18	0	100	100	3	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2026-01	1	0.08	0	100	100	1	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2026-02	8	3.29	3.09	100	87.5	7	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2026-03	7	1.82	1.82	100	85.7	7	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2026-04	15	1.85	1.8	100	100	4	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2026-05	15	0.77	0.77	100	100	2	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2026-06	21	1.09	1.09	100	100	4	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2026-07	25	2.51	2.51	100	100	8	NULL	NULL	NULL	NULL
ZZ_OTHER	(all other transporters)	2026-08	22	2.22	2.22	100	100	5	NULL	NULL	NULL	NULL
