SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	GRPO_DOCS	GRPO_LINES	GRPO_NET	GRPO_GST	GRPO_GROSS	UNBILLED_DOCS	UNBILLED_LINES	UNBILLED_NET	UNBILLED_GST	UNBILLED_GROSS	UB_0_30	UB_31_60	UB_61_90	UB_91_180	UB_181_365	UB_365PLUS	UB_90PLUS_DOCS	UB_90PLUS_GROSS	UB_ZEROQTY_LINES	UB_ZEROQTY_GROSS	OLDEST_UB_DATE	OLDEST_UB_DAYS	CLOSED_NOBILL_DOCS	CLOSED_NOBILL_LINES	CLOSED_NOBILL_GROSS	RETURNED_DOCS	RETURNED_LINES	RETURNED_GROSS	INVOICED_DOCS	NOINV_DOCS	NOINV_GROSS	INV_PAIR_DOCS	INV_SAMEDAY_DOCS	INV_SAMEDAY_PCT	INV_LAG_AVG_DAYS	INV_LAG_MED_DAYS	EXT_GRPO_DOCS	EXT_GRPO_GROSS	EXT_UNBILLED_DOCS	EXT_UNBILLED_GROSS	EXT_UB_90PLUS_DOCS	EXT_UB_90PLUS_GROSS
VENDOR	VENDA000931	PALAK ENTERPRISES [EXTERNAL]	5	24	24	92456196.6	4622809.82	97079006.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	24	0	0	24	24	100	0	0	24	97079006.42	0	0	0	0
VENDOR	VENDA001490	MAHA MAYA FOOD PRODUCTS PRIVATE LIMITED [EXTERNAL]	5	8	8	83862000	4193100	88055100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	8	0	0	8	8	100	0	0	8	88055100	0	0	0	0
VENDOR	VENDA001287	LEGACY COMMODITIES PRIVATE LIMITED(VEND) [EXTERNAL]	5	14	14	71304784	3565239.2	74870023.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	14	0	0	14	14	100	0	0	14	74870023.2	0	0	0	0
VENDOR	VENDA001347	INDRANI FOODS [EXTERNAL]	5	9	9	67342315	3367115.76	70709430.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	9	0	0	9	9	100	0	0	9	70709430.76	0	0	0	0
VENDOR	VENDA001521	PARAS AGRI BUSINESS PRIVATE LIMITED [EXTERNAL]	5	14	14	62992456	3149622.8	66142078.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	14	0	0	14	14	100	0	0	14	66142078.8	0	0	0	0
VENDOR	VENDA000933	RAJ TECHNOPACK PVT LTD [EXTERNAL]	5	431	952	51803061.95	9324551.15	61127613.1	12	27	1921845.5	345932.19	2267777.69	2267777.69	0	0	0	0	0	0	0	0	0	2026-08-07	15	0	0	0	0	0	0	419	12	2267777.69	419	409	97.61	0.74	0	431	61127613.1	12	2267777.69	0	0
VENDOR	VENDA000512	NATIONAL TIN INDUSTRIES [EXTERNAL]	5	102	213	50606046.5	9109088.37	59715134.87	1	1	328662	59159.16	387821.16	387821.16	0	0	0	0	0	0	0	0	0	2026-08-08	14	0	0	0	1	1	460200	100	2	848021.16	100	96	96	0.1	0	102	59715134.87	1	387821.16	0	0
VENDOR	VENDA000947	KUTCH CHEMICAL INDUSTRIES LIMITED [EXTERNAL]	5	11	11	53539067	2676953.35	56216020.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	11	0	0	11	10	90.91	0.45	0	11	56216020.35	0	0	0	0
VENDOR	VENDA001022	LIFE ESSENTIALS PERSONAL CARE PRIVATE LIMITED [EXTERNAL]	5	4	4	48773340	2438667	51212007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	4	0	0	4	4	100	0	0	4	51212007	0	0	0	0
VENDOR	VENDA001607	VAISHNODEVI REFOILS & SOLVEX PRIVATE LIMITED [EXTERNAL]	5	7	7	43392820	2169641	45562461	1	1	6430930	321546.5	6752476.5	6752476.5	0	0	0	0	0	0	0	0	0	2026-08-21	1	0	0	0	0	0	0	6	1	6752476.5	6	6	100	0	0	7	45562461	1	6752476.5	0	0
