product_group,subgroup_id,sub_group,skus,active_skus
Spices,519,Imli,7,7
Spices,403,Custurd,7,7
Spices,835,Vinegar,7,7
Spices,477,Ginger Paste,6,6
Spices,510,Hing,5,5
Spices,247,Amchoor,5,5
Spices,823,Upma,5,5
Spices,358,Chilli,4,4
Spices,568,Long,4,4
Spices,365,Chutney,3,3
Spices,415,Dhokla,3,3
Spices,634,Others,2,2
Spices,750,Soda,2,2
Spices,828,Vada,2,2
Spices,679,Pulaw,1,1
Spices,707,Sambar,1,1
Spices,736,Sirka,1,1
Spices,660,Pickle,1,1
Spices,610,Mulethi,1,1
Spices,539,Kesar,1,1
Spices,540,Kesari,1,1
Spices,407,Daalchini,1,1
Sports,269,Ball,66,66
Sports,267,Badminton,21,21
Sports,278,Bat,16,16
Sports,734,Shuttle Cock,10,10
Sports,339,Carrom Coins,6,6
Sports,357,Chess,5,5
Sports,340,Carrom Strickers,4,4
Sports,855,Cricket Bat,4,4
Sports,868,Ludo,1,1
Sports,869,Ludo Coins,1,1
Sports,1025,Hockey,1,1
Sports,532,Jumping Rope,1,1
Stationary,762,Stationary,479,475
Stationary,652,Pen,224,224
Stationary,630,Note Book,137,137
Stationary,655,Pencil,30,30
Stationary,577,Marker Pen,22,22
Stationary,381,Colour Pencil,19,19
Stationary,656,Pencil Box,16,16
Stationary,738,Sketch Pen,16,16
Stationary,380,Color Set,14,14
Stationary,367,Clauch Pencil,13,13
Stationary,423,Drawing Book,13,13
Stationary,474,Geometry Box,13,13
Stationary,725,Sheets,12,12
Stationary,715,Scale,12,12
Stationary,763,Stationary Kit,11,11
Stationary,455,Fevicol,11,11
Stationary,342,Carry Bag,11,11
Stationary,873,Scissor,8,8
Stationary,330,Calculatar,7,7
Stationary,674,Kit Bag,7,7
Stationary,653,Pen Refill,7,7
Stationary,383,Compass,6,6
Stationary,444,Envelop,6,6
Stationary,854,Fabric Paint,6,6
Stationary,481,Glitter Tubes,5,5
Stationary,654,Pen Stand,5,5
Stationary,720,Sharpener,5,5
Stationary,643,Paper,4,4
Stationary,336,Card,4,4
Stationary,369,Clip Board,3,3
Stationary,480,Glitter Pen,3,3
Stationary,394,Correction Pen,3,3
Stationary,393,Corraction Pen,2,2
Stationary,337,Card Holder,2,2
Stationary,347,Cd Cover,1,1
Stationary,368,Clip,1,1
Stationary,293,Binder Clip,1,1
Stationary,492,Greetings Card,1,1
Stationary,623,Needles,1,1
Stationary,853,Acrylic Color,1,1
Suits & Dresses,486,Gown,1,1
Sweet,493,Grocery,1,1
Sweets,590,Menu Items,11,11
Tandoori,963,Paratha Tandoori,18,18
Tandoori,991,Tikka,14,14
Tandoori,960,Paneer Tikka,11,11
Tandoori,939,Kulcha Amritsari,5,5
Tandoori,988,Tandoori Roti,4,4
Tandoori,952,Naan,4,4
Tandoori,913,Cheese Naan With Gravy,1,1
Tandoori,992,Tofu Tikka,1,1
Tawa Items,962,Paratha,19,15
Tawa Items,975,Roti,3,3
Tea & Coffee,780,Tea,178,178
Tea & Coffee,375,Coffee,60,60
Thermals,784,Thermal Upper,158,146
Thermals,1018,Thermal Lower,10,10
Toiletories,797,Toiletories,123,123
Toiletories,413,Detergent Powder,112,112
Toiletories,886,Air Freshener,77,77
Toiletories,856,Dish Washers,53,53
Toiletories,887,Toilet & Floor Cleaner,48,48
Toiletories,852,Detergent Bar,35,35
Toiletories,995,Detergent Liquid,29,29
Toiletories,793,Tissue Paper,19,19
Toiletories,1004,Bleach,7,7
Toiletories,838,Wash Soap,7,7
Toiletories,888,Napthalene Balls,6,6
Toiletories,1003,After Wash,5,5
Toiletories,876,Tongue Cleaner,2,2
Toiletories,1050,Hair Gel,1,1
Toy & Sports,814,Toys,182,182
Toy & Sports,815,Toys & Games,15,15
Toy & Sports,813,Toy & Sports,5,5
Toys,877,Toy,93,93
Toys,766,Stuffs,89,89
Toys,343,Cars,24,24
Toys,875,Stuff Toy,14,14
Under Garment,834,Vest,157,154
Under Garment,316,Ug Bra,153,143
Under Garment,318,Briefs,142,142
Under Garment,749,Socks Cotton,97,91
Under Garment,641,Panties,64,61
Under Garment,744,Slips,42,41
Under Garment,505,Hankey,38,36
Under Garment,708,Sameez,14,14
Under Garment,1015,Socks Woolen,13,13
Under Garment,304,Bloomer,2,2
Unstiched Suits,552,Ladies Suits,343,343
Upper Wear,824,Upper Wear,12,12
Upper Wear,1057,Old Cloths,1,1
Upper Wear,548,Kurta,1,1
Veg Delight,920,Daal,9,9
Veg Delight,901,Aloo,4,4
Veg Delight,937,Kadai Paneer,4,4
Veg Delight,938,Kofta,2,2
Veg Delight,950,Mix Veg,2,2
Veg Delight,955,Palak Paneer,1,1
Veg Delight,956,Paneer Bhujji,1,1
Veg Delight,957,Paneer Do Payaja,1,1
Veg Delight,946,Mashroom Masala,1,1
Veg Delight,947,Mashroom Matar,1,1
Veg Delight,948,Matar Paneer,1,1
Veg Delight,935,Jeera Mashroom,1,1
