product_group,subgroup_id,sub_group,skus,active_skus
Personal Care,857,Dettol Hygienic,10,10
Personal Care,1029,Sanitizer,9,9
Personal Care,484,Glycerin,9,9
Personal Care,511,Hit,7,7
Personal Care,307,Boroline,7,7
Personal Care,1030,Baby Shampoo,7,7
Personal Care,1055,Face Powder,7,7
Personal Care,770,Sun Control Cream,6,6
Personal Care,509,Henna,5,5
Personal Care,872,Rose Water,5,5
Personal Care,1027,Mehandi,4,4
Personal Care,1041,Nail Paint & Thinner,4,4
Personal Care,308,Boroplus,4,4
Personal Care,721,Shave Brush,4,4
Personal Care,688,Rat Kills,3,3
Personal Care,262,Baby Powder,3,3
Personal Care,1033,Massage Oil,3,3
Personal Care,496,Gulabari,2,2
Personal Care,678,Puff,2,2
Personal Care,747,Soap,2,2
Personal Care,808,Toothpest Inactive,1,1
Personal Care,450,Facewash,1,1
Personal Care,261,Baby Poeder,1,1
Personal Care,248,Anti Lice Oil,1,1
Personal Care,861,Jelly,1,1
Pulses,352,Chana,22,22
Pulses,613,Mung,15,15
Pulses,253,Arhar,14,14
Pulses,826,Urad Sabat,10,10
Pulses,825,Urad,9,9
Pulses,686,Rajma,8,8
Pulses,581,Masoor Malka,7,7
Pulses,353,Chana Black,7,7
Pulses,565,Lobia,5,5
Pulses,580,Masoor,5,5
Pulses,533,Kabuli Chana,3,3
Pulses,297,Black Chana,1,1
Pulses,1086,Channa,1,1
Raw Material,1040,Bom Consumable,149,149
Rice & Other Grains,694,Rice,35,35
Rice & Other Grains,681,Pulses & Lenitils,30,30
Rice & Other Grains,277,Basmati Rice,25,25
Rice & Other Grains,998,Oats,22,22
Rice & Other Grains,1032,Pasta,15,15
Rice & Other Grains,670,Poha,11,11
Rice & Other Grains,790,Til,7,7
Rice & Other Grains,409,Daliya,7,7
Rice & Other Grains,614,Murmura,6,6
Rice & Other Grains,700,Sabu Dana,2,2
Rice & Other Grains,714,Sauth,2,2
Rice & Other Grains,272,Bamati Rice,2,2
Rice & Other Grains,882,Ararot,2,2
Salt & Sugar,705,Salt,29,29
Salt & Sugar,767,Sugar,25,25
Salt & Sugar,495,Gud,14,14
Salt & Sugar,704,Sakkar,4,4
Salt & Sugar,597,Mishri,2,2
Sandwiches,978,Sandwich,17,17
Sandwiches,908,Butter Toast,7,7
Sandwiches,931,Grillrd Sandwich,3,2
Sandwiches,941,Malai Grillrd Sandwich,1,1
Sandwiches,907,Butter Slice,1,1
Sandwiches,912,Cheese Grilled Sandwich,1,1
Shakes,981,Shake,41,32
Shakes,984,Smoothies,12,12
Snacks & Breakfast,905,Bread Pizza,13,13
Snacks & Breakfast,924,Franch Fries,5,4
Snacks & Breakfast,983,Smileys,4,4
Snacks & Breakfast,993,Veg Fried Rice,2,2
Snacks & Breakfast,949,Mix Pakora,2,2
Snacks & Breakfast,919,Cutlet,1,1
Snacks & Breakfast,904,Bread Pakora,1,1
Snacks & Breakfast,965,Pastrie Chocolate,1,1
Snacks & Breakfast,958,Paneer Pakora,1,1
Soft Drinks,1044,Packed Juice,274,274
Soft Drinks,595,Mineral Water,17,17
Soups,751,Soup,9,9
South Indian,1069,Vadda Sambar,1,1
South Indian,967,Plain Dosa,1,1
South Indian,976,Sambar Idli,1,1
South Indian,944,Masala Dosa,1,1
Spices,755,Spices,215,215
Spices,578,Masala,83,83
Spices,440,Elaichi,17,17
Spices,662,Pickles,16,16
Spices,658,Spices Paste,10,10
Spices,245,Ajwain,9,9
Spices,298,Black Paper,8,8
Spices,414,Dhania,8,8
Spices,461,Food Component,8,8
