group_id,product_group,subgroup_id,sub_group,skus
138,Medicare,726,Shilajit,1
138,Medicare,737,Sitopaladi Churna,1
138,Medicare,740,Skin Toner,1
138,Medicare,769,Suger Free,7
138,Medicare,771,Suplimentary Foods,0
138,Medicare,785,Thermometer,2
138,Medicare,789,Thrermometer,1
138,Medicare,1005,Tonic,2
138,Medicare,1021,Uptan,1
138,Medicare,830,Vaporub,4
138,Medicare,844,Wheat Grass,2
191,Mens Wear,527,Jeans,92
191,Mens Wear,571,Lower,64
191,Mens Wear,624,Nicker,6
191,Mens Wear,727,Shirts,52
191,Mens Wear,819,Trouser,26
191,Mens Wear,820,T-Shirt,100
198,Milk Shake,1080,Maxum Java Coffee,1
171,Mini Meals,903,American Corn,1
171,Mini Meals,909,Chana Rice,1
171,Mini Meals,915,Chhole Bhature,5
171,Mini Meals,926,Fried Rice Wth Gravy,2
171,Mini Meals,936,Jeera Rice,1
171,Mini Meals,1059,Kadi Chawal,2
171,Mini Meals,851,Milk,33
171,Mini Meals,968,Plain Rice,2
171,Mini Meals,970,Pulao,1
171,Mini Meals,971,Puri Chana,1
171,Mini Meals,972,Raita,4
171,Mini Meals,1060,Rajma Chawal,2
171,Mini Meals,974,Rajmah Rice,1
171,Mini Meals,985,Special Thali,1
171,Mini Meals,990,Thali,13
171,Mini Meals,1070,Vada Pao,1
139,Mobile,356,Charger,8
108,Night Wear,626,Night Suits,114
140,Oil & Ghee,475,Ghee,14
140,Oil & Ghee,616,Mustard Oil,32
140,Oil & Ghee,791,Til Oil,5
172,Others,1043,Curd/Raita,4
172,Others,918,Custard,8
172,Others,927,Fruit Salad,3
172,Others,928,Gajrela,3
172,Others,930,Green Salad,3
172,Others,1042,Gujia,2
172,Others,932,Gulab Jamun,2
172,Others,940,Lassi,4
172,Others,1028,Namkeen,2
172,Others,964,Pastrie,11
172,Others,966,Patis,3
172,Others,776,Powder N In Use,0
172,Others,871,Powder Niu,0
172,Others,982,Shikanji,1
172,Others,994,Vegetable Salad,3
195,Packing,1077,Packing,20
141,Personal Care,248,Anti Lice Oil,1
141,Personal Care,257,Baby Cream,15
141,Personal Care,260,Baby Diaper,73
141,Personal Care,258,Baby Lotion,11
141,Personal Care,259,Baby Oil,15
141,Personal Care,261,Baby Poeder,1
141,Personal Care,262,Baby Powder,3
141,Personal Care,1030,Baby Shampoo,7
141,Personal Care,263,Baby Soap,17
141,Personal Care,281,Bath Soap,346
141,Personal Care,602,Body Lotion,123
141,Personal Care,305,Body Wash Gel,35
141,Personal Care,307,Boroline,7
141,Personal Care,308,Boroplus,4
141,Personal Care,377,Cold Cream,46
141,Personal Care,386,Conditioner,55
141,Personal Care,396,Cream,79
141,Personal Care,412,Deos,125
141,Personal Care,857,Dettol Hygienic,10
141,Personal Care,447,Face Pack,31
141,Personal Care,1055,Face Powder,7
141,Personal Care,448,Face Wash,165
141,Personal Care,449,Face Wash Gel,53
141,Personal Care,450,Facewash,1
141,Personal Care,451,Facial Kit,12
141,Personal Care,452,Fairness Cream,61
141,Personal Care,484,Glycerin,9
141,Personal Care,496,Gulabari,2
141,Personal Care,1035,Hair Colour,16
141,Personal Care,500,Hair Fixer,19
141,Personal Care,501,Hair Oil,152
141,Personal Care,502,Hair Oils,0
141,Personal Care,891,Hand Wash,100
141,Personal Care,509,Henna,5
141,Personal Care,511,Hit,7
141,Personal Care,861,Jelly,1
141,Personal Care,563,Lip Care,14
141,Personal Care,867,Lotion Not In Use,0
141,Personal Care,1033,Massage Oil,3
141,Personal Care,1027,Mehandi,4
141,Personal Care,603,Moisturizer Cream,53
141,Personal Care,605,Mosquito,0
141,Personal Care,607,Mouth Wash,12
141,Personal Care,1041,Nail Paint & Thinner,4
141,Personal Care,645,Parfum,45
141,Personal Care,411,Parfums,252
141,Personal Care,739,Petrolium Jelly,12
141,Personal Care,777,Powder,90
141,Personal Care,678,Puff,2
141,Personal Care,688,Rat Kills,3
141,Personal Care,872,Rose Water,5
141,Personal Care,703,Sanitary Pad,37
141,Personal Care,711,Sanitary Pads,46
141,Personal Care,1029,Sanitizer,9
141,Personal Care,717,Scrub,16
141,Personal Care,1083,Serum,11
141,Personal Care,719,Shampoo,395
141,Personal Care,721,Shave Brush,4
