WHS	ITEMCODE	ITEMNAME	GRP	ONHAND_NOW	MOVE_SINCE_0801	PCS_OPEN_0801
BH-BT	FG0000324	SESAME OIL 1 LTR 20 PCS	102	1497.000000	1497.000000	0.000000
BH-BT	FG0000332	VEDAKA SUNFLOWER 5 LTR 4 PCS	102	32.000000	0.000000	32.000000
BH-BT	FG0000334	VEDAKA WOOD PRESSED PEANUT OIL 5 LTR 4 PCS	102	4.000000	0.000000	4.000000
BH-BT	FG0000344	JIVO PREMIUM OIL GIFT BOX	102	282.000000	0.000000	282.000000
BH-BT	FG0000348	RICE BRAN OIL 4 LTR 5 PCS	102	634.000000	634.000000	0.000000
BH-BT	FG0000349	EXTRA VIRGIN OLIVE 200 MLS 70 PCS	102	0.000000	-2778.000000	2778.000000
BH-BT	FG0000352	SESAME OIL (TOASTED) 500 MLS 12 PCS	102	886.000000	876.000000	10.000000
BH-BT	FG0000362	LA RASOI COLD PRESSED CANOLA OIL 2 LTR 10 PCS HANDLE	102	30.000000	0.000000	30.000000
BH-BT	FG0000370	EXTRA LIGHT OLIVE 3 LTR TIN 2 PCS	102	79.000000	79.000000	0.000000
BH-BT	FG0000372	POMACE OLIVE 3 LTR TIN 2 PCS	102	32.000000	4.000000	28.000000
BH-BT	FG0000374	YELLOW MUSTARD OIL 5 LTR TIN 4 PCS	102	380.000000	376.000000	4.000000
BH-BT	FG0000377	ILAHI EXTRA VIRGIN OLIVE 1 LTR 12 PCS	102	156.000000	156.000000	0.000000
BH-BT	FG0000379	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	102	109.000000	12.000000	97.000000
BH-BT	FG0000381	EXTRA VIRGIN OLIVE OIL 10ML	102	495.000000	495.000000	0.000000
BH-BT	FG0000389	JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE	102	3958.000000	3944.000000	14.000000
BH-BT	FG0000394	JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD )	102	3.000000	3.000000	0.000000
