docnum,src,docdate,card,whs,pcs,litres,dispatched_at,cls
626070438,INVOICE,2026-07-20,AGGARWAL AGENCIES,BH-PF,6000.0,6000.0,2026-07-21T15:35:01.814599+05:30,GONE_before_1Aug
626070440,INVOICE,2026-07-20,SHREE GANESH ENTERPRISES,BH-PF,218.0,3270.0,2026-07-21T15:52:20.755322+05:30,GONE_before_1Aug
626070441,INVOICE,2026-07-20,JEEWAN INTERNATIONAL 19 20,BH-PF,400.0,5714.3,2026-07-21T18:31:54.224129+05:30,GONE_before_1Aug
626070442,INVOICE,2026-07-20,JASBIR SINGH RAJU SALES,BH-PF,4.0,4.0,__NOREC__,NO_GATE_RECORD
626070443,INVOICE,2026-07-20,GURPREET SINGH WINKAL IMPREST JWPL0138,BH-PF,2.0,2.0,__NOREC__,NO_GATE_RECORD
626070445,INVOICE,2026-07-21,RAJ MATA TRADERS LAXMI NAGAR,BH-PF,2800.0,2800.0,2026-07-22T18:09:42.226377+05:30,GONE_before_1Aug
626070446,INVOICE,2026-07-21,RAJ MATA TRADERS LAXMI NAGAR,BH-PF,2400.0,2400.0,2026-07-22T18:09:42.226377+05:30,GONE_before_1Aug
626070450,INVOICE,2026-07-21,M/S OM PARKASH MAHAJAN AND CO.,BH-PF,850.0,4033.0,2026-07-25T20:30:50.281702+05:30,GONE_before_1Aug
626070453,INVOICE,2026-07-22,RAJESHWAR KISHORE MAHENDERPAL,BH-PF,4000.0,4000.0,2026-07-27T11:16:24.574225+05:30,GONE_before_1Aug
626070454,INVOICE,2026-07-22,NORTHERN NATURALS PRIVATE LIMITED,BH-PF,10.0,2000.0,2026-07-22T18:09:42.226377+05:30,GONE_before_1Aug
626070455,INVOICE,2026-07-22,SHRAY FOOD & BEVERAGES PRIVATE LIMITED,BH-PF,50.0,714.3,2026-07-24T17:55:19.428488+05:30,GONE_before_1Aug
626070456,INVOICE,2026-07-22,SHRAY FOOD & BEVERAGES PRIVATE LIMITED,BH-PF,150.0,2214.3,2026-07-24T17:55:19.428488+05:30,GONE_before_1Aug
626070458,INVOICE,2026-07-22,ONENESS TRADERS,BH-PF,12000.0,9890.1,2026-07-23T20:27:11.113542+05:30,GONE_before_1Aug
726676866,TRANSFER,2026-07-22,,BH-PF,2875.0,4965.2,__NOREC__,NO_GATE_RECORD
726676872,TRANSFER,2026-07-22,,BH-BT,30288.0,38160.0,2026-07-23T11:33:58.461745+05:30,GONE_before_1Aug
626070472,INVOICE,2026-07-23,HARPREET SINGH CASH SALE,BH-PF,1.0,0.5,__NOREC__,NO_GATE_RECORD
