whs,code,name,grp,onhand_now,move,pcs,lpc,how,litres
BH-PF,FG0000444,SOYABEAN OIL 12 KGS (B),102,338.0,-1451.0,1789.0,13.186813186813186,12kg @910g/L,23591.20879120879
BH-PF,FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,102,34639.0,12830.0,21809.0,1.0,ltr in name,21809.0
BH-PF,FG0000359,SOYABEAN OIL 750 GMS 12 PCS POUCH,102,152.0,-24463.0,24615.0,0.8241758241758241,750g @910g/L,20287.08791208791
BH-PF,FG0000299,SOYABEAN OIL 700 GMS POUCH 12 PCS,102,260.0,-19630.0,19890.0,0.7692307692307693,700g @910g/L,15300.0
BH-PF,FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,102,1356.0,508.0,848.0,15.0,ltr in name,12720.0
BH-PF,FG0000178,MUSTARD KACHI GHANI 15 KGS,102,200.0,-461.0,661.0,16.483516483516482,15kg @910g/L,10895.604395604394
BH-PF,FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,102,0.0,-9260.0,9260.0,1.0,ltr in name,9260.0
BH-PF,FG0000015,REFINED OIL 15 LTR,102,1728.0,1230.0,498.0,15.0,ltr in name,7470.0
BH-PF,FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,102,404.0,-942.0,1346.0,5.0,ltr in name,6730.0
BH-PF,FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,102,0.0,-3176.0,3176.0,2.0,combo 1+1 L,6352.0
BH-PF,FG0000227,RICE BRAN OIL 1 LTR 16 PCS,102,0.0,-5440.0,5440.0,1.0,ltr in name,5440.0
BH-PF,FG0000389,JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE,102,0.0,-5171.0,5171.0,1.0,ltr in name,5171.0
BH-PF,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,102,272.0,-567.0,839.0,5.0,ltr in name,4195.0
BH-PF,FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,102,2476.0,1817.0,659.0,5.0,ltr in name,3295.0
BH-PF,FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,102,0.0,-651.0,651.0,5.0,ltr in name,3255.0
BH-PF,FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,102,3991.0,1271.0,2720.0,1.0,ltr in name,2720.0
BH-PF,FG0000088,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,102,460.0,-870.0,1330.0,2.0,combo 1+1 L,2660.0
BH-PF,FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,102,171.0,-310.0,481.0,5.0,ltr in name,2405.0
BH-PF,FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,102,0.0,-2324.0,2324.0,1.0,ltr in name,2324.0
BH-PF,FG0000449,MUSTARD KACHI GHANI 200 ML 70 PCS,102,0.0,-11270.0,11270.0,0.2,ml in name,2254.0
BH-PF,FG0000441,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,102,0.0,-10710.0,10710.0,0.2,ml in name,2142.0
BH-PF,FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,102,1132.0,742.0,390.0,5.0,ltr in name,1950.0
BH-PF,FG0000226,RICE BRAN OIL 5 LTR 4 PCS,102,0.0,-343.0,343.0,5.0,ltr in name,1715.0
BH-PF,FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,102,0.0,-1668.0,1668.0,1.0,ltr in name,1668.0
BH-PF,FG0000128,JIVO GOLD 5 LTR 4 PCS,102,720.0,419.0,301.0,5.0,ltr in name,1505.0
BH-PF,FG0000032,COLD PRESS 1 LTR 20 PCS,102,0.0,-1464.0,1464.0,1.0,ltr in name,1464.0
BH-PF,FG0000446,EXTRA VIRGIN OLIVE 3 LTR TIN 3 PCS,102,0.0,-471.0,471.0,3.0,ltr in name,1413.0
BH-PF,FG0000028,POMACE OLIVE 1 LTR 16 PCS,102,8160.0,6970.0,1190.0,1.0,ltr in name,1190.0
BH-PF,FG0000295,MUSTARD KACHI GHANI 4 LTR 5 PCS,102,0.0,-265.0,265.0,4.0,ltr in name,1060.0
BH-PF,FG0000402,COLD PRESS GROUNDNUT OIL 200 LTR 1 PCS,102,5.0,0.0,5.0,200.0,ltr in name,1000.0
BH-PF,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,102,4255.0,3263.0,992.0,1.0,ltr in name,992.0
BH-PF,FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,102,0.0,-927.0,927.0,1.0,ltr in name,927.0
BH-PF,FG0000228,SO OLIVE OIL 1 LTR 16 PCS,102,0.0,-806.0,806.0,1.0,ltr in name,806.0
BH-PF,FG0000004,COLD PRESS 5 LTR 4 PCS,102,9160.0,9000.0,160.0,5.0,ltr in name,800.0
BH-PF,FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,102,3600.0,2847.0,753.0,1.0,ltr in name,753.0
BH-PF,FG0000155,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,102,0.0,-290.0,290.0,2.0,ltr in name,580.0
BH-PF,FG0000116,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,102,0.0,-510.0,510.0,1.0,ltr in name,510.0
BH-PF,FG0000035,COLD PRESS 500 MLS 24 PCS,102,0.0,-984.0,984.0,0.5,ml in name,492.0
BH-PF,FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,102,0.0,-98.0,98.0,5.0,ltr in name,490.0
BH-PF,FG0000114,POMACE OLIVE 2 LTR 10 PCS HANDLE,102,0.0,-240.0,240.0,2.0,ltr in name,480.0
BH-PF,FG0000352,SESAME OIL (TOASTED) 500 MLS 12 PCS,102,0.0,-914.0,914.0,0.5,ml in name,457.0
BH-PF,FG0000324,SESAME OIL 1 LTR 20 PCS,102,0.0,-455.0,455.0,1.0,ltr in name,455.0
