WHS	ITEMCODE	ITEMNAME	GRP	PCS_CLOSE_0801
BH-BT	FG0000374	YELLOW MUSTARD OIL 5 LTR TIN 4 PCS	102	4.000000
BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	102	24615.000000
BH-BT	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	102	1164.000000
BH-BT	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	102	3095.000000
BH-BT	FG0000324	SESAME OIL 1 LTR 20 PCS	102	0.000000
BH-BT	FG0000033	COLD PRESS 1 LTR + 1 LTR COMBO 10 SET	102	8670.000000
BH-BT	FG0000028	POMACE OLIVE 1 LTR 16 PCS	102	16674.000000
BH-BT	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	102	252.000000
BH-BT	FG0000074	EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED	102	189.000000
BH-BT	FG0000149	JIVO GOLD 1 LTR 20 PCS	102	14.000000
BH-BT	FG0000151	SANO POMACE OLIVE 5 LTR TIN 4 PCS	102	3704.000000
BH-PF	FG0000460	SESAME OIL 1 LTR 16 PCS	102	0.000000
BH-BT	FG0000319	KIRPA DESI GHEE 500 MLS 16 PCS	102	2897.000000
BH-BT	FG0000143	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	102	932.000000
BH-BT	FG0000053	COLD PRESS SUNFLOWER 5 LTR 4 PCS	102	6678.000000
BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	102	524.000000
BH-BT	FG0000009	EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS	102	2252.000000
BH-BT	FG0000128	JIVO GOLD 5 LTR 4 PCS	102	35.000000
BH-BT	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	102	8955.000000
BH-BT	FG0000030	MUSTARD KACHI GHANI 1 LTR 20 PCS	102	400.000000
BH-BT	FG0000306	YELLOW MUSTARD OIL 1 LTR 20 PCS	102	222.000000
BH-BT	FG0000150	SANO POMACE OLIVE 1 LTR 16 PCS	102	10228.000000
BH-BT	FG0000418	SOYABEAN OIL 1 LTR 20 PCS ROUND BOTTLE	102	5300.000000
BH-BT	FG0000228	SO OLIVE OIL 1 LTR 16 PCS	102	8.000000
BH-PF	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	102	652.000000
BH-BT	FG0000038	MUSTARD KACCHI GHANI 2 LTR 10 PCS	102	1524.000000
BH-PF	FG0000032	COLD PRESS 1 LTR 20 PCS	102	1464.000000
BH-BT	FG0000032	COLD PRESS 1 LTR 20 PCS	102	29910.000000
BH-PF	FG0000004	COLD PRESS 5 LTR 4 PCS	102	160.000000
BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	102	97.000000
