WHS	ITEMCODE	ITEMNAME	ONHAND
BH-BT	FG0000129	COLD PRESS 3 LTR 4 PCS PLAIN	0.000000
BH-BT	FG0000130	COLD PRESS SUNFLOWER 200 LTR 1 PCS	0.000000
BH-BT	FG0000131	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED PLAIN	0.000000
BH-BT	FG0000132	RICE BRAN OIL 15 LTR	0.000000
BH-BT	FG0000137	SANO MUSTARD OIL 5 LTR 4 PCS	0.000000
BH-BT	FG0000144	COLD PRESS 3 LTR + 1 LTR 6 PCS	0.000000
BH-BT	FG0000168	REFINED COTTON SEED OIL 15 KGS	0.000000
BH-BT	FG0000169	REFINED COTTON SEED OIL 13 KGS	0.000000
BH-BT	FG0000171	CHIA SEEDS 50 GMS	0.000000
BH-BT	FG0000172	FLAX SEEDS 50 GMS	0.000000
BH-BT	FG0000173	DESI GHEE A2 USA 1000 GMS 1 PCS	0.000000
BH-BT	FG0000174	DESI GHEE A2 USA 500 GMS 1 PCS	0.000000
BH-BT	FG0000175	COLD PRESS 1 LTR +1 LTR COMBO 12 SET	0.000000
BH-BT	FG0000177	MUSTARD KACHI GHANI 200 LTR 1 PCS	0.000000
BH-BT	FG0000179	FLAX SEEDS 200 GMS 1 PCS	0.000000
BH-BT	FG0000200	COLD PRESS 4 LTR + 1 LTR FLASK 5 PCS	0.000000
BH-BT	FG0000201	RICE 1 KGS PACK OF 20 PCS JIVO	0.000000
BH-BT	FG0000202	SOYA CHUNK 200 GMS PACK OF 20 PCS CSD	0.000000
BH-BT	FG0000214	MULTI VITAMIN WOMEN	0.000000
BH-BT	FG0000215	COFFEE 100 GMS 24 PCS	0.000000
BH-BT	FG0000217	SANO HONEY 500 GMS	0.000000
BH-BT	FG0000219	HONEY 1 KGS 6 PCS	0.000000
BH-BT	FG0000220	JIVO HONEY 1 KGS	0.000000
BH-BT	FG0000225	COFFEE 100 GMS 16 PCS	0.000000
BH-BT	FG0000233	SPICES CLOVES 100 GMS PCS	0.000000
BH-BT	FG0000234	REFINED HIGH OLEIC SUNFLOWER 200 LTR 1 PCS	0.000000
BH-BT	FG0000236	FLAX SEED 400 GMS 1 PCS	0.000000
BH-BT	FG0000237	PUMPKIN SEEDS 800 GM 1 PCS	0.000000
BH-BT	FG0000238	PUMPKIN SEEDS 400 GM 1 PCS	0.000000
BH-BT	FG0000239	BASIL SEED 800 GMS 1 PCS	0.000000
BH-BT	FG0000240	BASIL SEED 400 GMS 1 PCS	0.000000
BH-BT	FG0000241	SANO SOYABEAN OIL 869 GMS 20 PCS	0.000000
BH-BT	FG0000244	SUNFLOWER SEEDS 400 GMS 1 PCS	0.000000
BH-BT	FG0000245	GOLDEN GIFT PACK 100 GMS EACH (RAISIN+ALMOND+CASHEW SALTED+PISTACHIO SALTED)	0.000000
BH-BT	FG0000246	WOODEN GIFT PACK 100 GMS EACH (RAISIN+ALMOND+CASHEW SALTED+PISTACHIO SALTED)	0.000000
BH-BT	FG0000247	SBS GIFT PACK 50 GMS EACH (RAISIN+ALMOND+CASHEW SALTED+PISTACHIO SALTED)	0.000000
BH-BT	FG0000248	SANO SOYABEAN OIL 15 KGS	0.000000
BH-BT	FG0000249	SANO SOYABEAN OIL 13 KGS	0.000000
BH-BT	FG0000250	SOYABEAN OIL 15 KGS	0.000000
BH-BT	FG0000254	PET BOTTLE 500 MLS MANGO 18 PCS	0.000000
BH-BT	FG0000266	MUSTARD KACHI GHANI 1 LTR 4 PCS ( 1 SET )	0.000000
BH-BT	FG0000268	COLD PRESS SUNFLOWER 5 LTR 2 PCS ( 1 SET )	0.000000
BH-BT	FG0000270	SANO CANOLA 3 LTR 6 PCS	0.000000
BH-BT	FG0000317	SOYABEAN OIL 15 KGS TIN IMP PCS	0.000000
BH-BT	FG0000446	EXTRA VIRGIN OLIVE 3 LTR TIN 3 PCS	0.000000
BH-BT	SF0000009	REFINED CANOLA OIL 15 KG TIN	0.000000
BH-BT	FG0000001	COLD PRESS 15 LTR	0.000000
BH-BT	FG0000006	POMACE OLIVE 200 LTR 1 PCS	0.000000
BH-BT	FG0000007	EXTRA LIGHT OLIVE 5 LTR 1 PCS	0.000000
